frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.56,-1.47,6.56,-1.47,1.48,-0.10,0.14,8.05,8.04,8.03
20.20,6.60,-1.41,6.60,-1.41,1.40,-0.10,0.15,8.00,8.00,8.01
20.40,6.64,-1.34,6.64,-1.34,1.33,-0.10,0.15,7.96,7.97,7.98
20.61,6.68,-1.27,6.68,-1.27,1.26,-0.10,0.16,7.94,7.94,7.95
20.81,6.72,-1.20,6.72,-1.20,1.20,-0.11,0.17,7.92,7.92,7.92
21.02,6.75,-1.14,6.75,-1.14,1.15,-0.11,0.17,7.90,7.90,7.89
21.23,6.78,-1.08,6.77,-1.09,1.10,-0.11,0.18,7.88,7.88,7.86
21.44,6.78,-1.05,6.78,-1.05,1.06,-0.11,0.18,7.85,7.84,7.83
21.66,6.77,-1.02,6.78,-1.02,1.04,-0.11,0.19,7.81,7.81,7.80
21.87,6.76,-1.01,6.76,-1.01,1.02,-0.12,0.20,7.78,7.78,7.77
22.09,6.74,-1.00,6.74,-1.00,1.00,-0.12,0.20,7.74,7.74,7.74
22.31,6.71,-1.00,6.72,-1.00,1.00,-0.12,0.21,7.71,7.71,7.72
22.54,6.69,-1.00,6.69,-1.00,0.99,-0.12,0.22,7.68,7.68,7.69
22.76,6.67,-0.99,6.67,-0.99,0.98,-0.13,0.23,7.65,7.65,7.66
22.99,6.66,-0.98,6.66,-0.97,0.96,-0.13,0.23,7.63,7.63,7.64
23.22,6.66,-0.95,6.66,-0.95,0.94,-0.13,0.24,7.60,7.60,7.61
23.45,6.66,-0.92,6.66,-0.92,0.92,-0.14,0.25,7.58,7.58,7.58
23.69,6.66,-0.89,6.66,-0.89,0.89,-0.14,0.26,7.55,7.55,7.55
23.92,6.67,-0.86,6.67,-0.86,0.86,-0.14,0.27,7.53,7.53,7.52
24.16,6.67,-0.82,6.67,-0.82,0.82,-0.14,0.27,7.49,7.49,7.49
24.40,6.67,-0.78,6.67,-0.78,0.79,-0.15,0.28,7.46,7.46,7.46
24.65,6.67,-0.75,6.67,-0.75,0.75,-0.15,0.29,7.43,7.43,7.42
24.89,6.67,-0.72,6.67,-0.72,0.72,-0.15,0.30,7.39,7.39,7.39
25.14,6.67,-0.68,6.67,-0.69,0.69,-0.16,0.31,7.35,7.35,7.35
25.39,6.66,-0.65,6.67,-0.65,0.65,-0.16,0.32,7.32,7.32,7.32
25.65,6.66,-0.62,6.66,-0.62,0.62,-0.16,0.32,7.28,7.28,7.29
25.91,6.66,-0.59,6.66,-0.59,0.58,-0.17,0.33,7.25,7.25,7.25
26.16,6.66,-0.56,6.66,-0.56,0.55,-0.17,0.34,7.21,7.21,7.22
26.43,6.67,-0.52,6.67,-0.52,0.52,-0.17,0.35,7.18,7.18,7.19
26.69,6.66,-0.49,6.67,-0.48,0.49,-0.18,0.35,7.15,7.15,7.15
26.96,6.66,-0.45,6.66,-0.45,0.46,-0.18,0.36,7.12,7.12,7.11
27.23,6.65,-0.43,6.65,-0.43,0.44,-0.19,0.37,7.09,7.09,7.08
27.50,6.62,-0.41,6.62,-0.42,0.43,-0.19,0.37,7.06,7.06,7.04
