frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.55,0.00,12.55,0.00,0.01,-0.55,-0.37,12.56,12.56,12.55
20.20,12.55,0.00,12.55,0.00,0.00,-0.56,-0.38,12.55,12.55,12.54
20.40,12.55,0.01,12.55,0.01,-0.01,-0.57,-0.39,12.54,12.54,12.54
20.61,12.55,0.02,12.55,0.02,-0.02,-0.58,-0.40,12.53,12.53,12.53
20.81,12.56,0.03,12.56,0.03,-0.04,-0.59,-0.41,12.52,12.52,12.53
21.02,12.57,0.05,12.57,0.05,-0.06,-0.60,-0.42,12.51,12.51,12.52
21.23,12.59,0.08,12.59,0.08,-0.09,-0.61,-0.43,12.50,12.50,12.51
21.44,12.62,0.12,12.62,0.12,-0.13,-0.63,-0.44,12.49,12.49,12.50
21.66,12.66,0.17,12.66,0.17,-0.18,-0.64,-0.45,12.48,12.48,12.49
21.87,12.70,0.22,12.70,0.22,-0.23,-0.65,-0.46,12.47,12.47,12.48
22.09,12.75,0.28,12.75,0.28,-0.28,-0.66,-0.47,12.47,12.47,12.47
22.31,12.80,0.34,12.79,0.34,-0.34,-0.67,-0.48,12.46,12.46,12.45
22.54,12.84,0.40,12.84,0.40,-0.39,-0.69,-0.50,12.45,12.45,12.44
22.76,12.87,0.45,12.87,0.45,-0.43,-0.70,-0.51,12.44,12.44,12.42
22.99,12.89,0.48,12.89,0.48,-0.47,-0.71,-0.52,12.42,12.42,12.41
23.22,12.90,0.51,12.90,0.50,-0.49,-0.73,-0.53,12.40,12.40,12.39
23.45,12.90,0.52,12.90,0.52,-0.51,-0.74,-0.55,12.38,12.38,12.38
23.69,12.89,0.53,12.89,0.53,-0.53,-0.75,-0.56,12.36,12.36,12.36
23.92,12.87,0.53,12.87,0.53,-0.54,-0.77,-0.57,12.33,12.33,12.34
24.16,12.86,0.54,12.86,0.54,-0.55,-0.78,-0.59,12.31,12.31,12.32
24.40,12.85,0.55,12.85,0.55,-0.56,-0.80,-0.60,12.29,12.29,12.29
24.65,12.84,0.57,12.84,0.57,-0.58,-0.81,-0.62,12.26,12.26,12.27
24.89,12.84,0.59,12.84,0.59,-0.60,-0.83,-0.63,12.24,12.24,12.25
25.14,12.84,0.62,12.84,0.62,-0.63,-0.84,-0.65,12.21,12.21,12.22
25.39,12.85,0.65,12.85,0.65,-0.66,-0.86,-0.66,12.19,12.19,12.19
25.65,12.86,0.69,12.86,0.69,-0.70,-0.87,-0.68,12.17,12.17,12.17
25.91,12.87,0.73,12.87,0.73,-0.73,-0.89,-0.70,12.14,12.14,12.14
26.16,12.88,0.77,12.88,0.77,-0.76,-0.91,-0.71,12.12,12.12,12.11
26.43,12.89,0.81,12.89,0.80,-0.79,-0.92,-0.73,12.09,12.09,12.08
26.69,12.88,0.83,12.88,0.83,-0.82,-0.94,-0.75,12.06,12.06,12.05
26.96,12.87,0.85,12.87,0.85,-0.84,-0.96,-0.76,12.03,12.03,12.02
27.23,12.85,0.86,12.85,0.86,-0.85,-0.98,-0.78,12.00,12.00,11.99
