frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.16,-1.01,7.16,-1.02,1.01,-0.01,0.13,8.17,8.17,8.17
20.20,7.16,-0.95,7.16,-0.95,0.94,-0.01,0.13,8.10,8.10,8.11
20.40,7.17,-0.88,7.17,-0.88,0.88,-0.01,0.14,8.05,8.05,8.05
20.61,7.17,-0.82,7.17,-0.82,0.82,-0.01,0.14,7.99,7.99,7.99
20.81,7.18,-0.75,7.18,-0.76,0.77,-0.01,0.15,7.95,7.95,7.93
21.02,7.19,-0.70,7.18,-0.70,0.72,-0.01,0.15,7.91,7.91,7.89
21.23,7.19,-0.66,7.19,-0.66,0.68,-0.01,0.16,7.87,7.87,7.85
21.44,7.20,-0.63,7.20,-0.63,0.64,-0.01,0.16,7.83,7.83,7.82
21.66,7.20,-0.61,7.20,-0.61,0.61,-0.01,0.17,7.81,7.81,7.81
21.87,7.21,-0.59,7.21,-0.59,0.58,-0.01,0.17,7.79,7.79,7.79
22.09,7.21,-0.57,7.21,-0.57,0.56,-0.01,0.18,7.77,7.77,7.78
22.31,7.22,-0.54,7.22,-0.54,0.53,-0.01,0.18,7.75,7.75,7.76
22.54,7.22,-0.52,7.22,-0.52,0.51,-0.01,0.19,7.73,7.73,7.74
22.76,7.22,-0.49,7.22,-0.49,0.48,-0.01,0.19,7.71,7.71,7.71
22.99,7.23,-0.46,7.23,-0.46,0.46,-0.01,0.20,7.69,7.69,7.69
23.22,7.23,-0.43,7.23,-0.43,0.44,-0.01,0.21,7.67,7.67,7.67
23.45,7.24,-0.41,7.24,-0.41,0.42,-0.01,0.21,7.66,7.66,7.65
23.69,7.24,-0.40,7.24,-0.40,0.41,-0.01,0.22,7.65,7.65,7.64
23.92,7.25,-0.39,7.25,-0.39,0.39,-0.01,0.23,7.64,7.64,7.64
24.16,7.25,-0.39,7.25,-0.39,0.39,-0.01,0.23,7.64,7.64,7.64
24.40,7.25,-0.38,7.25,-0.38,0.38,-0.01,0.24,7.63,7.63,7.63
24.65,7.25,-0.38,7.25,-0.38,0.38,-0.01,0.25,7.63,7.63,7.63
24.89,7.25,-0.38,7.25,-0.38,0.37,-0.01,0.25,7.62,7.62,7.63
25.14,7.25,-0.37,7.25,-0.37,0.37,-0.01,0.26,7.62,7.62,7.62
25.39,7.25,-0.36,7.25,-0.36,0.36,-0.01,0.27,7.61,7.61,7.61
25.65,7.25,-0.35,7.25,-0.35,0.35,-0.01,0.27,7.60,7.60,7.60
25.91,7.25,-0.34,7.25,-0.34,0.34,-0.01,0.28,7.59,7.59,7.59
26.16,7.25,-0.32,7.25,-0.32,0.31,-0.01,0.29,7.57,7.57,7.58
26.43,7.25,-0.30,7.25,-0.30,0.29,-0.01,0.29,7.54,7.54,7.55
26.69,7.26,-0.27,7.26,-0.27,0.25,-0.01,0.30,7.51,7.51,7.52
26.96,7.26,-0.23,7.26,-0.23,0.22,-0.01,0.30,7.47,7.47,7.48
27.23,7.26,-0.18,7.26,-0.18,0.18,-0.01,0.31,7.44,7.44,7.44
27.50,7.25,-0.14,7.25,-0.14,0.15,-0.01,0.31,7.40,7.40,7.39
27.77,7.25,-0.10,7.25,-0.11,0.12,-0.01,0.32,7.37,7.37,7.35
28.05,7.24,-0.08,7.24,-0.08,0.10,-0.02,0.32,7.35,7.35,7.32
28.33,7.24,-0.07,7.24,-0.07,0.09,-0.02,0.33,7.33,7.33,7.31
28.62,7.23,-0.08,7.23,-0.08,0.09,-0.02,0.33,7.32,7.32,7.31
28.90,7.23,-0.09,7.23,-0.09,0.09,-0.02,0.33,7.31,7.31,7.31
