frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.67,-1.58,7.67,-1.57,1.59,-0.07,0.20,9.26,9.27,9.25
20.20,7.69,-1.56,7.68,-1.57,1.57,-0.08,0.21,9.26,9.25,9.25
20.40,7.70,-1.55,7.70,-1.55,1.54,-0.08,0.21,9.25,9.24,9.25
20.61,7.72,-1.54,7.72,-1.53,1.52,-0.08,0.22,9.23,9.24,9.26
20.81,7.76,-1.50,7.76,-1.50,1.49,-0.08,0.23,9.24,9.24,9.26
21.02,7.80,-1.46,7.80,-1.47,1.46,-0.08,0.24,9.26,9.25,9.26
21.23,7.84,-1.42,7.84,-1.43,1.43,-0.08,0.24,9.27,9.27,9.27
21.44,7.88,-1.39,7.88,-1.39,1.39,-0.08,0.25,9.28,9.28,9.27
21.66,7.93,-1.35,7.93,-1.35,1.36,-0.09,0.26,9.28,9.28,9.28
21.87,7.97,-1.31,7.97,-1.31,1.32,-0.09,0.27,9.28,9.28,9.28
22.09,8.01,-1.28,8.01,-1.28,1.28,-0.09,0.28,9.29,9.29,9.28
22.31,8.05,-1.24,8.05,-1.24,1.24,-0.09,0.29,9.29,9.29,9.29
22.54,8.08,-1.21,8.08,-1.21,1.21,-0.09,0.30,9.29,9.29,9.29
22.76,8.12,-1.17,8.12,-1.17,1.17,-0.10,0.31,9.29,9.29,9.30
22.99,8.16,-1.14,8.16,-1.14,1.14,-0.10,0.32,9.30,9.30,9.30
23.22,8.20,-1.10,8.20,-1.10,1.10,-0.10,0.33,9.30,9.30,9.30
23.45,8.24,-1.06,8.24,-1.06,1.06,-0.10,0.34,9.30,9.30,9.31
23.69,8.28,-1.02,8.28,-1.02,1.02,-0.10,0.35,9.31,9.31,9.31
23.92,8.32,-0.99,8.32,-0.99,0.99,-0.10,0.36,9.31,9.31,9.31
24.16,8.36,-0.95,8.36,-0.95,0.95,-0.11,0.37,9.31,9.31,9.31
24.40,8.40,-0.91,8.40,-0.91,0.91,-0.11,0.38,9.31,9.31,9.31
24.65,8.44,-0.88,8.44,-0.88,0.88,-0.11,0.39,9.31,9.31,9.31
24.89,8.47,-0.84,8.47,-0.84,0.84,-0.11,0.40,9.31,9.31,9.31
25.14,8.50,-0.81,8.50,-0.81,0.81,-0.12,0.41,9.31,9.31,9.31
25.39,8.53,-0.78,8.54,-0.78,0.78,-0.12,0.42,9.31,9.31,9.31
25.65,8.57,-0.74,8.57,-0.74,0.74,-0.12,0.43,9.31,9.31,9.31
25.91,8.60,-0.71,8.60,-0.71,0.71,-0.12,0.44,9.31,9.31,9.31
26.16,8.63,-0.67,8.64,-0.67,0.67,-0.12,0.45,9.31,9.31,9.31
26.43,8.67,-0.64,8.67,-0.64,0.64,-0.13,0.46,9.31,9.31,9.31
26.69,8.70,-0.60,8.70,-0.60,0.60,-0.13,0.47,9.31,9.31,9.31
26.96,8.73,-0.57,8.73,-0.57,0.57,-0.13,0.48,9.30,9.31,9.30
27.23,8.77,-0.54,8.77,-0.54,0.54,-0.14,0.49,9.30,9.30,9.30
27.50,8.80,-0.50,8.80,-0.50,0.50,-0.14,0.50,9.30,9.30,9.30
27.77,8.83,-0.47,8.83,-0.47,0.47,-0.14,0.51,9.30,9.30,9.30
28.05,8.86,-0.44,8.86,-0.44,0.44,-0.14,0.51,9.29,9.29,9.29
28.33,8.89,-0.41,8.89,-0.40,0.40,-0.15,0.52,9.29,9.29,9.29
28.62,8.92,-0.37,8.92,-0.37,0.37,-0.15,0.52,9.29,9.29,9.29
28.90,8.95,-0.34,8.95,-0.34,0.34,-0.15,0.53,9.29,9.29,9.29
29.19,8.98,-0.31,8.98,-0.31,0.31,-0.15,0.53,9.29,9.29,9.28
29.48,9.00,-0.28,9.00,-0.28,0.28,-0.16,0.53,9.28,9.28,9.28
29.78,9.03,-0.25,9.03,-0.25,0.26,-0.16,0.53,9.28,9.28,9.28
30.08,9.05,-0.23,9.05,-0.23,0.23,-0.16,0.53,9.28,9.28,9.28
30.38,9.07,-0.20,9.07,-0.20,0.21,-0.17,0.53,9.27,9.27,9.27
30.68,9.09,-0.18,9.09,-0.18,0.18,-0.17,0.53,9.27,9.27,9.27
30.99,9.11,-0.16,9.11,-0.16,0.16,-0.17,0.52,9.27,9.27,9.27
31.30,9.13,-0.14,9.13,-0.14,0.14,-0.18,0.51,9.26,9.26,9.27
31.61,9.15,-0.11,9.15,-0.11,0.11,-0.18,0.51,9.26,9.26,9.26
31.93,9.17,-0.09,9.17,-0.09,0.09,-0.18,0.50,9.26,9.26,9.26
32.24,9.19,-0.06,9.19,-0.06,0.06,-0.19,0.49,9.26,9.26,9.26
32.57,9.22,-0.04,9.22,-0.04,0.04,-0.19,0.47,9.26,9.26,9.26
32.89,9.24,-0.01,9.24,-0.01,0.02,-0.19,0.46,9.25,9.25,9.25
33.22,9.26,0.01,9.26,0.01,-0.01,-0.20,0.45,9.25,9.25,9.25
33.55,9.28,0.03,9.28,0.03,-0.03,-0.20,0.43,9.25,9.25,9.25
33.89,9.29,0.05,9.29,0.05,-0.05,-0.21,0.41,9.24,9.24,9.24
34.23,9.31,0.07,9.31,0.07,-0.07,-0.21,0.39,9.24,9.24,9.24
34.57,9.32,0.09,9.32,0.09,-0.09,-0.21,0.37,9.24,9.24,9.24
34.92,9.34,0.10,9.34,0.10,-0.10,-0.22,0.35,9.23,9.23,9.23
35.27,9.35,0.12,9.35,0.12,-0.12,-0.22,0.33,9.23,9.23,9.23
35.62,9.36,0.14,9.36,0.14,-0.14,-0.23,0.31,9.22,9.22,9.23
35.97,9.37,0.15,9.37,0.15,-0.15,-0.23,0.29,9.22,9.22,9.22
36.33,9.39,0.17,9.39,0.17,-0.17,-0.24,0.26,9.22,9.22,9.22
36.70,9.40,0.19,9.40,0.19,-0.19,-0.24,0.24,9.21,9.21,9.21
37.06,9.41,0.20,9.41,0.21,-0.20,-0.24,0.21,9.21,9.21,9.21
37.43,9.42,0.22,9.42,0.22,-0.22,-0.25,0.18,9.20,9.20,9.20
37.81,9.43,0.24,9.43,0.24,-0.24,-0.25,0.16,9.20,9.20,9.19
38.19,9.44,0.25,9.44,0.25,-0.25,-0.26,0.13,9.19,9.19,9.19
38.57,9.45,0.27,9.45,0.27,-0.27,-0.26,0.10,9.18,9.18,9.18
38.95,9.46,0.28,9.46,0.28,-0.28,-0.27,0.08,9.17,9.17,9.17
39.34,9.47,0.30,9.47,0.30,-0.30,-0.27,0.05,9.16,9.16,9.17
39.74,9.48,0.32,9.48,0.32,-0.32,-0.28,0.02,9.15,9.15,9.16
40.14,9.49,0.34,9.49,0.34,-0.34,-0.28,-0.01,9.15,9.15,9.15
40.54,9.50,0.36,9.50,0.36,-0.36,-0.29,-0.04,9.14,9.14,9.14
40.94,9.52,0.39,9.52,0.39,-0.39,-0.29,-0.07,9.13,9.13,9.13
41.35,9.53,0.41,9.53,0.41,-0.41,-0.30,-0.10,9.12,9.12,9.12
41.76,9.55,0.44,9.55,0.44,-0.44,-0.31,-0.13,9.11,9.11,9.11
42.18,9.57,0.47,9.57,0.47,-0.47,-0.31,-0.16,9.10,9.10,9.10
42.60,9.59,0.49,9.59,0.49,-0.49,-0.32,-0.19,9.09,9.09,9.09
43.03,9.60,0.52,9.60,0.52,-0.52,-0.32,-0.22,9.09,9.09,9.08
43.46,9.61,0.54,9.61,0.54,-0.54,-0.33,-0.25,9.08,9.08,9.07
43.90,9.62,0.56,9.62,0.56,-0.55,-0.34,-0.29,9.07,9.07,9.07
44.33,9.63,0.57,9.63,0.57,-0.57,-0.34,-0.32,9.06,9.06,9.06
44.78,9.63,0.59,9.63,0.59,-0.58,-0.35,-0.35,9.05,9.05,9.05
45.23,9.63,0.59,9.63,0.59,-0.59,-0.35,-0.38,9.04,9.04,9.04
45.68,9.63,0.60,9.63,0.60,-0.60,-0.36,-0.41,9.03,9.03,9.03
46.13,9.63,0.60,9.63,0.60,-0.61,-0.37,-0.45,9.02,9.02,9.02
46.60,9.63,0.61,9.63,0.61,-0.62,-0.37,-0.48,9.01,9.01,9.01
47.06,9.63,0.62,9.63,0.63,-0.63,-0.38,-0.51,9.00,9.00,9.01
47.53,9.64,0.64,9.64,0.64,-0.65,-0.39,-0.55,8.99,8.99,9.00
48.01,9.65,0.66,9.65,0.66,-0.66,-0.40,-0.58,8.99,8.99,8.99
48.49,9.66,0.68,9.66,0.68,-0.68,-0.40,-0.61,8.98,8.98,8.98
48.97,9.67,0.70,9.67,0.70,-0.69,-0.41,-0.65,8.98,8.98,8.97
49.46,9.67,0.71,9.67,0.71,-0.71,-0.42,-0.68,8.97,8.97,8.96
49.96,9.68,0.72,9.68,0.72,-0.72,-0.42,-0.71,8.96,8.96,8.95
50.46,9.68,0.74,9.68,0.74,-0.74,-0.43,-0.75,8.94,8.94,8.94
50.96,9.68,0.75,9.68,0.75,-0.75,-0.44,-0.78,8.93,8.93,8.93
51.47,9.68,0.76,9.68,0.76,-0.76,-0.45,-0.81,8.92,8.92,8.92
51.99,9.68,0.77,9.68,0.77,-0.77,-0.46,-0.85,8.91,8.91,8.91
52.51,9.68,0.78,9.68,0.78,-0.78,-0.46,-0.88,8.90,8.90,8.90
53.03,9.67,0.79,9.67,0.78,-0.78,-0.47,-0.91,8.89,8.89,8.89
53.56,9.67,0.79,9.67,0.79,-0.79,-0.48,-0.94,8.87,8.87,8.87
54.10,9.66,0.80,9.66,0.80,-0.80,-0.49,-0.97,8.86,8.86,8.86
54.64,9.65,0.81,9.65,0.81,-0.81,-0.50,-1.00,8.84,8.84,8.84
55.18,9.65,0.82,9.65,0.82,-0.82,-0.51,-1.03,8.83,8.83,8.83
55.74,9.64,0.83,9.64,0.83,-0.83,-0.52,-1.06,8.81,8.81,8.81
56.29,9.64,0.84,9.64,0.84,-0.84,-0.52,-1.09,8.80,8.79,8.79
56.86,9.63,0.85,9.63,0.85,-0.85,-0.53,-1.11,8.78,8.78,8.78
57.42,9.62,0.86,9.62,0.86,-0.86,-0.54,-1.14,8.76,8.76,8.76
58.00,9.61,0.88,9.61,0.88,-0.88,-0.55,-1.16,8.74,8.74,8.74
58.58,9.61,0.89,9.61,0.89,-0.89,-0.56,-1.18,8.72,8.72,8.72
59.16,9.60,0.90,9.60,0.90,-0.90,-0.57,-1.20,8.70,8.70,8.70
59.76,9.59,0.91,9.59,0.91,-0.91,-0.58,-1.22,8.68,8.68,8.68
60.35,9.58,0.93,9.58,0.93,-0.93,-0.59,-1.24,8.66,8.66,8.66
60.96,9.57,0.94,9.57,0.94,-0.94,-0.60,-1.25,8.64,8.64,8.64
61.57,9.57,0.95,9.57,0.95,-0.95,-0.61,-1.27,8.62,8.62,8.61
62.18,9.56,0.96,9.56,0.96,-0.96,-0.62,-1.28,8.60,8.60,8.59
62.80,9.55,0.97,9.55,0.97,-0.97,-0.63,-1.29,8.57,8.57,8.57
63.43,9.53,0.98,9.54,0.98,-0.98,-0.64,-1.29,8.55,8.55,8.55
64.07,9.52,0.99,9.52,0.99,-0.99,-0.65,-1.30,8.53,8.53,8.53
64.71,9.51,1.00,9.51,1.00,-1.00,-0.66,-1.30,8.51,8.51,8.51
65.35,9.49,1.00,9.49,1.00,-1.00,-0.67,-1.31,8.49,8.49,8.49
66.01,9.47,1.00,9.47,1.00,-1.00,-0.68,-1.31,8.47,8.47,8.47
66.67,9.46,1.01,9.46,1.01,-1.01,-0.69,-1.30,8.45,8.45,8.45
67.33,9.44,1.01,9.44,1.01,-1.01,-0.70,-1.30,8.43,8.43,8.43
68.01,9.42,1.01,9.42,1.01,-1.01,-0.72,-1.30,8.41,8.41,8.41
68.69,9.40,1.01,9.40,1.01,-1.01,-0.73,-1.29,8.39,8.39,8.39
69.37,9.38,1.01,9.38,1.01,-1.01,-0.74,-1.29,8.38,8.38,8.37
70.07,9.36,1.00,9.36,1.00,-1.00,-0.75,-1.28,8.36,8.36,8.36
70.77,9.34,1.00,9.34,1.00,-1.00,-0.76,-1.27,8.34,8.34,8.34
71.48,9.31,0.99,9.31,0.99,-0.99,-0.77,-1.26,8.32,8.32,8.32
72.19,9.29,0.99,9.29,0.99,-0.99,-0.78,-1.25,8.30,8.30,8.30
72.91,9.26,0.98,9.26,0.98,-0.98,-0.79,-1.24,8.28,8.28,8.28
73.64,9.24,0.97,9.24,0.97,-0.97,-0.81,-1.23,8.27,8.27,8.27
74.38,9.21,0.96,9.21,0.96,-0.96,-0.82,-1.22,8.25,8.25,8.25
75.12,9.19,0.95,9.19,0.95,-0.95,-0.83,-1.21,8.24,8.24,8.24
75.87,9.16,0.94,9.16,0.94,-0.94,-0.84,-1.20,8.22,8.22,8.22
76.63,9.13,0.93,9.13,0.93,-0.93,-0.85,-1.19,8.21,8.21,8.21
77.40,9.10,0.91,9.10,0.91,-0.91,-0.87,-1.18,8.19,8.19,8.19
78.17,9.07,0.90,9.07,0.90,-0.89,-0.88,-1.17,8.18,8.18,8.18
78.95,9.04,0.88,9.04,0.88,-0.88,-0.89,-1.16,8.17,8.17,8.16
79.74,9.01,0.86,9.01,0.86,-0.85,-0.90,-1.15,8.15,8.15,8.15
80.54,8.97,0.83,8.97,0.84,-0.83,-0.91,-1.14,8.14,8.14,8.14
81.35,8.93,0.81,8.94,0.81,-0.81,-0.93,-1.13,8.13,8.13,8.12
82.16,8.90,0.79,8.90,0.79,-0.79,-0.94,-1.13,8.11,8.11,8.11
82.98,8.86,0.77,8.86,0.77,-0.76,-0.95,-1.12,8.10,8.10,8.10
83.81,8.83,0.75,8.83,0.75,-0.75,-0.96,-1.12,8.08,8.08,8.08
84.65,8.80,0.73,8.80,0.73,-0.73,-0.97,-1.11,8.06,8.06,8.07
85.50,8.77,0.72,8.77,0.72,-0.73,-0.99,-1.11,8.04,8.04,8.05
86.35,8.76,0.72,8.76,0.72,-0.73,-1.00,-1.10,8.02,8.02,8.03
87.22,8.75,0.74,8.75,0.74,-0.75,-1.01,-1.10,8.00,8.00,8.01
88.09,8.75,0.76,8.75,0.76,-0.77,-1.02,-1.10,7.98,7.98,7.99
88.97,8.76,0.79,8.76,0.79,-0.80,-1.03,-1.10,7.96,7.96,7.97
89.86,8.78,0.83,8.78,0.83,-0.84,-1.05,-1.10,7.94,7.94,7.94
90.76,8.79,0.88,8.79,0.88,-0.88,-1.06,-1.10,7.92,7.92,7.91
91.66,8.81,0.93,8.81,0.93,-0.92,-1.07,-1.10,7.89,7.89,7.88
92.58,8.82,0.97,8.82,0.97,-0.96,-1.08,-1.10,7.86,7.86,7.85
93.51,8.83,1.01,8.83,1.01,-1.01,-1.09,-1.11,7.82,7.82,7.82
94.44,8.83,1.05,8.83,1.05,-1.05,-1.10,-1.11,7.78,7.78,7.78
95.39,8.82,1.08,8.82,1.08,-1.08,-1.11,-1.12,7.74,7.74,7.74
96.34,8.81,1.11,8.81,1.11,-1.11,-1.13,-1.12,7.70,7.70,7.70
97.30,8.80,1.14,8.80,1.14,-1.14,-1.14,-1.13,7.66,7.66,7.66
98.28,8.78,1.17,8.78,1.17,-1.17,-1.15,-1.14,7.61,7.61,7.61
99.26,8.76,1.19,8.76,1.19,-1.19,-1.16,-1.15,7.57,7.57,7.57
100.25,8.74,1.21,8.74,1.21,-1.21,-1.17,-1.15,7.53,7.53,7.53
101.25,8.71,1.23,8.71,1.23,-1.23,-1.18,-1.16,7.48,7.48,7.48
102.27,8.68,1.24,8.68,1.24,-1.24,-1.19,-1.17,7.44,7.44,7.44
103.29,8.65,1.26,8.65,1.26,-1.26,-1.20,-1.18,7.39,7.39,7.39
104.32,8.62,1.27,8.62,1.27,-1.28,-1.21,-1.19,7.35,7.35,7.35
105.37,8.59,1.29,8.59,1.29,-1.29,-1.22,-1.20,7.30,7.30,7.30
106.42,8.56,1.30,8.56,1.30,-1.30,-1.22,-1.21,7.26,7.26,7.26
107.48,8.52,1.31,8.52,1.31,-1.31,-1.23,-1.23,7.21,7.21,7.21
108.56,8.49,1.32,8.49,1.32,-1.32,-1.24,-1.24,7.17,7.17,7.17
109.64,8.45,1.32,8.45,1.32,-1.32,-1.25,-1.25,7.13,7.13,7.13
