frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.85,2.72,10.85,2.72,-2.72,-2.74,-1.99,8.13,8.13,8.13
20.20,10.86,2.77,10.86,2.77,-2.76,-2.78,-2.05,8.09,8.09,8.09
20.40,10.86,2.81,10.86,2.81,-2.81,-2.83,-2.10,8.06,8.06,8.05
20.61,10.87,2.85,10.87,2.85,-2.85,-2.88,-2.16,8.02,8.02,8.02
20.81,10.87,2.89,10.87,2.89,-2.89,-2.92,-2.23,7.98,7.98,7.98
21.02,10.87,2.93,10.87,2.93,-2.94,-2.96,-2.29,7.93,7.93,7.94
21.23,10.87,2.98,10.87,2.98,-2.98,-3.01,-2.35,7.89,7.89,7.90
21.44,10.88,3.02,10.88,3.02,-3.03,-3.05,-2.42,7.85,7.85,7.85
21.66,10.88,3.07,10.88,3.07,-3.07,-3.09,-2.49,7.80,7.80,7.80
21.87,10.88,3.12,10.88,3.12,-3.12,-3.13,-2.56,7.76,7.76,7.76
22.09,10.88,3.17,10.88,3.17,-3.17,-3.17,-2.64,7.71,7.71,7.71
22.31,10.88,3.21,10.88,3.21,-3.21,-3.21,-2.71,7.66,7.66,7.66
22.54,10.88,3.26,10.88,3.26,-3.26,-3.25,-2.79,7.62,7.62,7.62
22.76,10.88,3.30,10.88,3.30,-3.30,-3.29,-2.87,7.57,7.57,7.57
22.99,10.87,3.35,10.87,3.35,-3.34,-3.33,-2.95,7.53,7.53,7.53
23.22,10.87,3.39,10.87,3.39,-3.39,-3.37,-3.03,7.49,7.49,7.49
23.45,10.87,3.43,10.87,3.43,-3.43,-3.40,-3.12,7.44,7.44,7.44
23.69,10.87,3.46,10.87,3.46,-3.46,-3.44,-3.21,7.40,7.40,7.40
23.92,10.86,3.50,10.86,3.50,-3.50,-3.48,-3.29,7.36,7.36,7.36
24.16,10.86,3.54,10.86,3.54,-3.54,-3.52,-3.38,7.32,7.32,7.32
24.40,10.85,3.58,10.85,3.58,-3.58,-3.55,-3.48,7.28,7.28,7.28
24.65,10.85,3.62,10.85,3.62,-3.62,-3.59,-3.57,7.23,7.23,7.23
24.89,10.84,3.65,10.84,3.65,-3.65,-3.63,-3.66,7.19,7.19,7.19
25.14,10.84,3.69,10.84,3.69,-3.69,-3.67,-3.76,7.15,7.15,7.15
25.39,10.83,3.73,10.83,3.73,-3.73,-3.71,-3.85,7.10,7.10,7.10
25.65,10.83,3.77,10.83,3.77,-3.77,-3.75,-3.95,7.05,7.05,7.06
25.91,10.82,3.81,10.82,3.81,-3.81,-3.80,-4.05,7.01,7.01,7.01
26.16,10.81,3.85,10.81,3.85,-3.85,-3.84,-4.14,6.96,6.96,6.96
26.43,10.81,3.89,10.81,3.89,-3.89,-3.88,-4.24,6.91,6.91,6.91
26.69,10.80,3.93,10.80,3.93,-3.93,-3.93,-4.34,6.87,6.87,6.87
26.96,10.79,3.97,10.79,3.97,-3.97,-3.97,-4.43,6.82,6.82,6.82
27.23,10.79,4.02,10.79,4.01,-4.01,-4.01,-4.52,6.77,6.77,6.77
27.50,10.78,4.06,10.78,4.06,-4.06,-4.06,-4.61,6.72,6.72,6.72
27.77,10.77,4.10,10.77,4.10,-4.10,-4.10,-4.70,6.68,6.68,6.68
28.05,10.77,4.14,10.76,4.14,-4.14,-4.15,-4.79,6.63,6.63,6.63
28.33,10.76,4.18,10.76,4.18,-4.18,-4.19,-4.87,6.58,6.58,6.58
28.62,10.75,4.22,10.75,4.22,-4.22,-4.24,-4.95,6.53,6.53,6.53
28.90,10.74,4.26,10.74,4.26,-4.26,-4.28,-5.02,6.48,6.48,6.48
29.19,10.73,4.30,10.73,4.30,-4.30,-4.32,-5.10,6.44,6.44,6.44
29.48,10.73,4.34,10.73,4.34,-4.34,-4.36,-5.16,6.39,6.39,6.39
29.78,10.72,4.37,10.72,4.37,-4.38,-4.40,-5.22,6.34,6.34,6.34
30.08,10.71,4.41,10.71,4.41,-4.42,-4.44,-5.27,6.29,6.29,6.30
30.38,10.70,4.45,10.70,4.45,-4.45,-4.48,-5.32,6.25,6.25,6.25
30.68,10.69,4.49,10.69,4.49,-4.49,-4.52,-5.36,6.20,6.20,6.20
30.99,10.68,4.53,10.68,4.53,-4.52,-4.56,-5.40,6.16,6.16,6.15
31.30,10.67,4.56,10.67,4.56,-4.55,-4.59,-5.42,6.12,6.12,6.11
31.61,10.66,4.59,10.66,4.59,-4.58,-4.62,-5.45,6.08,6.08,6.07
31.93,10.65,4.61,10.65,4.61,-4.61,-4.65,-5.46,6.04,6.04,6.04
32.24,10.63,4.63,10.63,4.63,-4.64,-4.69,-5.47,5.99,5.99,6.00
32.57,10.62,4.66,10.62,4.66,-4.67,-4.71,-5.47,5.95,5.95,5.96
32.89,10.61,4.70,10.61,4.70,-4.70,-4.74,-5.47,5.90,5.90,5.91
33.22,10.60,4.73,10.60,4.73,-4.74,-4.77,-5.46,5.86,5.86,5.86
33.55,10.58,4.77,10.58,4.77,-4.77,-4.80,-5.45,5.81,5.81,5.81
33.89,10.57,4.81,10.57,4.81,-4.80,-4.82,-5.43,5.77,5.77,5.76
34.23,10.55,4.84,10.55,4.84,-4.83,-4.84,-5.41,5.72,5.72,5.71
34.57,10.54,4.87,10.54,4.87,-4.86,-4.87,-5.38,5.67,5.67,5.67
34.92,10.52,4.89,10.52,4.89,-4.89,-4.89,-5.35,5.63,5.63,5.63
35.27,10.51,4.91,10.51,4.92,-4.92,-4.91,-5.32,5.59,5.59,5.59
35.62,10.49,4.94,10.49,4.94,-4.94,-4.94,-5.29,5.55,5.55,5.55
35.97,10.47,4.96,10.47,4.96,-4.96,-4.96,-5.25,5.51,5.51,5.51
36.33,10.45,4.99,10.45,4.99,-4.99,-4.98,-5.22,5.47,5.47,5.47
36.70,10.44,5.01,10.44,5.01,-5.01,-5.00,-5.18,5.42,5.42,5.42
37.06,10.42,5.03,10.42,5.03,-5.04,-5.03,-5.15,5.38,5.38,5.38
37.43,10.40,5.06,10.40,5.06,-5.06,-5.05,-5.11,5.34,5.34,5.34
37.81,10.38,5.09,10.38,5.09,-5.09,-5.07,-5.07,5.29,5.29,5.29
38.19,10.36,5.11,10.36,5.11,-5.11,-5.09,-5.04,5.25,5.24,5.24
38.57,10.34,5.14,10.34,5.14,-5.14,-5.11,-5.01,5.20,5.20,5.20
38.95,10.32,5.16,10.32,5.16,-5.16,-5.13,-4.98,5.15,5.15,5.15
39.34,10.29,5.19,10.29,5.19,-5.19,-5.15,-4.95,5.11,5.11,5.11
39.74,10.27,5.21,10.27,5.21,-5.21,-5.18,-4.92,5.06,5.06,5.06
40.14,10.25,5.24,10.25,5.24,-5.23,-5.20,-4.89,5.02,5.02,5.01
40.54,10.23,5.26,10.23,5.26,-5.26,-5.22,-4.87,4.97,4.97,4.97
40.94,10.20,5.28,10.20,5.28,-5.28,-5.24,-4.86,4.93,4.93,4.93
41.35,10.18,5.29,10.18,5.29,-5.30,-5.26,-4.84,4.88,4.88,4.89
41.76,10.16,5.31,10.16,5.31,-5.32,-5.28,-4.83,4.84,4.84,4.85
42.18,10.13,5.33,10.13,5.33,-5.33,-5.30,-4.82,4.80,4.80,4.80
42.60,10.11,5.35,10.11,5.35,-5.35,-5.32,-4.81,4.76,4.76,4.76
43.03,10.08,5.37,10.08,5.37,-5.36,-5.34,-4.81,4.72,4.72,4.71
43.46,10.06,5.38,10.06,5.38,-5.38,-5.36,-4.81,4.68,4.68,4.68
43.90,10.03,5.40,10.03,5.40,-5.40,-5.37,-4.82,4.64,4.64,4.64
44.33,10.01,5.41,10.01,5.41,-5.41,-5.39,-4.83,4.60,4.60,4.60
44.78,9.98,5.42,9.98,5.42,-5.43,-5.41,-4.84,4.55,4.55,4.56
45.23,9.95,5.44,9.95,5.44,-5.44,-5.43,-4.86,4.51,4.51,4.52
45.68,9.93,5.46,9.93,5.46,-5.46,-5.44,-4.88,4.47,4.47,4.47
46.13,9.90,5.47,9.90,5.47,-5.47,-5.46,-4.90,4.43,4.43,4.42
46.60,9.87,5.49,9.87,5.49,-5.49,-5.47,-4.93,4.39,4.39,4.38
47.06,9.84,5.51,9.84,5.50,-5.50,-5.49,-4.96,4.34,4.34,4.34
47.53,9.82,5.52,9.82,5.51,-5.51,-5.50,-5.00,4.30,4.30,4.30
48.01,9.79,5.52,9.79,5.52,-5.52,-5.52,-5.03,4.26,4.26,4.27
48.49,9.76,5.53,9.76,5.53,-5.53,-5.53,-5.07,4.23,4.23,4.23
48.97,9.73,5.54,9.73,5.54,-5.54,-5.54,-5.12,4.19,4.19,4.19
49.46,9.70,5.55,9.70,5.55,-5.55,-5.55,-5.16,4.15,4.15,4.15
49.96,9.67,5.56,9.67,5.56,-5.55,-5.57,-5.21,4.11,4.11,4.11
50.46,9.64,5.56,9.64,5.56,-5.56,-5.58,-5.26,4.08,4.08,4.07
50.96,9.61,5.57,9.61,5.57,-5.57,-5.59,-5.32,4.04,4.04,4.04
51.47,9.58,5.57,9.58,5.57,-5.57,-5.59,-5.37,4.00,4.00,4.00
51.99,9.54,5.58,9.54,5.58,-5.58,-5.60,-5.43,3.97,3.97,3.96
52.51,9.51,5.58,9.51,5.58,-5.58,-5.61,-5.49,3.93,3.93,3.93
53.03,9.48,5.58,9.48,5.58,-5.59,-5.62,-5.54,3.89,3.89,3.90
53.56,9.45,5.59,9.45,5.59,-5.59,-5.62,-5.60,3.85,3.85,3.86
54.10,9.41,5.60,9.41,5.60,-5.60,-5.63,-5.66,3.81,3.81,3.81
54.64,9.38,5.61,9.38,5.61,-5.61,-5.63,-5.72,3.78,3.78,3.77
55.18,9.35,5.62,9.35,5.62,-5.61,-5.64,-5.77,3.74,3.74,3.73
55.74,9.31,5.62,9.31,5.62,-5.61,-5.64,-5.83,3.70,3.70,3.70
56.29,9.28,5.62,9.28,5.62,-5.62,-5.64,-5.88,3.66,3.66,3.66
56.86,9.25,5.62,9.25,5.62,-5.62,-5.64,-5.93,3.63,3.63,3.63
57.42,9.21,5.62,9.21,5.62,-5.62,-5.64,-5.97,3.59,3.59,3.59
58.00,9.18,5.62,9.18,5.62,-5.62,-5.64,-6.01,3.56,3.56,3.56
58.58,9.14,5.62,9.14,5.62,-5.62,-5.64,-6.05,3.52,3.52,3.52
59.16,9.10,5.62,9.10,5.62,-5.62,-5.64,-6.08,3.49,3.49,3.49
59.76,9.07,5.62,9.07,5.62,-5.62,-5.63,-6.10,3.45,3.45,3.45
60.35,9.03,5.61,9.03,5.61,-5.61,-5.63,-6.13,3.42,3.42,3.42
60.96,8.99,5.61,8.99,5.61,-5.61,-5.62,-6.14,3.38,3.38,3.38
61.57,8.96,5.61,8.96,5.61,-5.61,-5.62,-6.15,3.35,3.35,3.35
62.18,8.92,5.61,8.92,5.61,-5.61,-5.61,-6.15,3.31,3.31,3.31
62.80,8.88,5.60,8.88,5.60,-5.60,-5.61,-6.14,3.28,3.28,3.28
63.43,8.84,5.60,8.84,5.60,-5.60,-5.60,-6.13,3.24,3.24,3.24
64.07,8.80,5.59,8.80,5.59,-5.59,-5.59,-6.11,3.21,3.21,3.21
64.71,8.76,5.59,8.76,5.59,-5.59,-5.58,-6.09,3.18,3.18,3.18
65.35,8.72,5.58,8.72,5.58,-5.58,-5.57,-6.06,3.14,3.14,3.14
66.01,8.68,5.57,8.68,5.57,-5.57,-5.56,-6.02,3.11,3.11,3.11
