frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.97,-1.91,8.97,-1.93,1.67,1.35,1.52,10.64,10.64,10.87
20.20,8.90,-1.80,8.89,-1.78,1.69,1.39,1.57,10.59,10.58,10.70
20.40,8.83,-1.70,8.82,-1.68,1.72,1.42,1.62,10.54,10.54,10.53
20.61,8.76,-1.61,8.76,-1.62,1.76,1.46,1.66,10.52,10.52,10.37
20.81,8.70,-1.58,8.70,-1.59,1.81,1.49,1.71,10.51,10.51,10.28
21.02,8.65,-1.63,8.65,-1.63,1.87,1.53,1.76,10.52,10.52,10.27
21.23,8.60,-1.74,8.61,-1.76,1.95,1.56,1.82,10.55,10.56,10.34
21.44,8.58,-1.95,8.58,-1.96,2.04,1.60,1.87,10.62,10.62,10.53
21.66,8.57,-2.21,8.57,-2.21,2.23,1.64,1.92,10.80,10.80,10.79
21.87,8.57,-2.47,8.57,-2.46,2.42,1.68,1.98,10.99,10.99,11.04
22.09,8.58,-2.67,8.58,-2.67,2.57,1.72,2.04,11.16,11.16,11.25
22.31,8.60,-2.80,8.60,-2.80,2.67,1.76,2.10,11.27,11.27,11.41
22.54,8.63,-2.84,8.63,-2.83,2.68,1.81,2.16,11.32,11.32,11.47
22.76,8.66,-2.77,8.67,-2.76,2.62,1.85,2.22,11.28,11.28,11.43
22.99,8.70,-2.60,8.70,-2.58,2.48,1.89,2.29,11.18,11.18,11.29
23.22,8.72,-2.33,8.72,-2.34,2.30,1.94,2.35,11.02,11.02,11.06
23.45,8.74,-2.06,8.74,-2.06,2.10,1.99,2.42,10.84,10.84,10.80
23.69,8.75,-1.81,8.75,-1.81,1.93,2.03,2.49,10.67,10.67,10.56
23.92,8.74,-1.62,8.74,-1.64,1.80,2.08,2.56,10.54,10.54,10.36
24.16,8.72,-1.56,8.72,-1.57,1.74,2.13,2.63,10.45,10.45,10.27
