frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.19,0.80,6.19,0.82,-0.79,0.01,-0.06,5.40,5.40,5.39
20.20,6.19,0.75,6.19,0.73,-0.72,0.01,-0.06,5.47,5.47,5.44
20.40,6.20,0.67,6.20,0.65,-0.65,0.01,-0.06,5.54,5.54,5.53
20.61,6.20,0.60,6.20,0.58,-0.59,0.01,-0.07,5.61,5.61,5.60
20.81,6.20,0.47,6.20,0.49,-0.52,0.01,-0.07,5.68,5.68,5.74
21.02,6.21,0.41,6.21,0.43,-0.46,0.01,-0.07,5.74,5.74,5.79
21.23,6.21,0.41,6.21,0.39,-0.40,0.01,-0.07,5.81,5.81,5.80
21.44,6.21,0.36,6.21,0.35,-0.35,0.01,-0.08,5.87,5.87,5.85
21.66,6.22,0.31,6.22,0.31,-0.30,0.01,-0.08,5.92,5.92,5.91
21.87,6.22,0.24,6.22,0.26,-0.26,0.01,-0.08,5.97,5.97,5.99
22.09,6.23,0.23,6.23,0.23,-0.21,0.01,-0.09,6.02,6.02,5.99
22.31,6.23,0.20,6.23,0.18,-0.16,0.01,-0.09,6.07,6.07,6.03
22.54,6.24,0.13,6.24,0.13,-0.12,0.01,-0.09,6.12,6.12,6.11
22.76,6.24,0.06,6.24,0.06,-0.07,0.01,-0.09,6.17,6.17,6.18
22.99,6.24,0.00,6.24,0.01,-0.01,0.01,-0.10,6.23,6.23,6.24
23.22,6.25,-0.05,6.25,-0.03,0.04,0.01,-0.10,6.28,6.28,6.29
23.45,6.25,-0.05,6.25,-0.07,0.08,0.01,-0.10,6.33,6.33,6.29
23.69,6.25,-0.11,6.25,-0.10,0.11,0.01,-0.11,6.37,6.37,6.36
23.92,6.25,-0.14,6.25,-0.13,0.13,0.01,-0.11,6.39,6.39,6.39
24.16,6.25,-0.14,6.25,-0.15,0.13,0.01,-0.11,6.38,6.38,6.39
24.40,6.26,-0.14,6.26,-0.14,0.10,0.01,-0.12,6.36,6.36,6.39
24.65,6.26,-0.10,6.26,-0.10,0.05,0.01,-0.12,6.31,6.31,6.36
24.89,6.26,-0.04,6.26,-0.02,-0.02,0.01,-0.12,6.24,6.24,6.30
25.14,6.26,0.08,6.26,0.07,-0.10,0.01,-0.13,6.16,6.16,6.17
25.39,6.26,0.19,6.26,0.19,-0.18,0.02,-0.13,6.08,6.08,6.06
25.65,6.25,0.29,6.25,0.31,-0.26,0.02,-0.13,5.99,5.99,5.97
25.91,6.25,0.41,6.25,0.39,-0.34,0.02,-0.14,5.92,5.92,5.84
26.16,6.25,0.46,6.25,0.45,-0.40,0.02,-0.14,5.85,5.85,5.79
26.43,6.25,0.46,6.25,0.47,-0.44,0.02,-0.14,5.81,5.81,5.79
26.69,6.25,0.46,6.25,0.46,-0.47,0.02,-0.15,5.78,5.78,5.79
26.96,6.25,0.45,6.25,0.45,-0.48,0.02,-0.15,5.77,5.77,5.79
27.23,6.24,0.45,6.24,0.45,-0.47,0.02,-0.15,5.77,5.77,5.79
27.50,6.24,0.45,6.24,0.45,-0.45,0.02,-0.15,5.79,5.79,5.79
27.77,6.24,0.45,6.24,0.44,-0.43,0.02,-0.15,5.81,5.81,5.79
28.05,6.24,0.43,6.24,0.41,-0.40,0.02,-0.16,5.83,5.83,5.81
28.33,6.24,0.36,6.23,0.38,-0.37,0.02,-0.16,5.86,5.86,5.88
