frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.00,3.73,5.00,3.73,-3.73,-3.28,-1.25,1.27,1.27,1.28
20.20,5.05,3.74,5.05,3.74,-3.74,-3.35,-1.28,1.31,1.31,1.31
20.40,5.09,3.74,5.09,3.74,-3.74,-3.42,-1.32,1.35,1.35,1.34
20.61,5.13,3.72,5.12,3.74,-3.73,-3.51,-1.36,1.39,1.39,1.41
20.81,5.16,3.75,5.16,3.73,-3.73,-3.59,-1.40,1.43,1.43,1.41
21.02,5.18,3.74,5.19,3.72,-3.72,-3.68,-1.44,1.46,1.46,1.45
21.23,5.21,3.70,5.21,3.72,-3.71,-3.76,-1.49,1.49,1.49,1.51
21.44,5.22,3.71,5.22,3.70,-3.70,-3.82,-1.53,1.52,1.52,1.51
21.66,5.23,3.71,5.23,3.68,-3.69,-3.88,-1.58,1.55,1.55,1.53
21.87,5.24,3.64,5.24,3.67,-3.67,-3.89,-1.62,1.57,1.57,1.60
22.09,5.25,3.64,5.25,3.65,-3.65,-3.90,-1.67,1.60,1.60,1.61
22.31,5.26,3.65,5.26,3.63,-3.63,-3.85,-1.72,1.62,1.62,1.61
22.54,5.26,3.64,5.26,3.62,-3.61,-3.81,-1.77,1.65,1.65,1.62
22.76,5.26,3.57,5.26,3.59,-3.59,-3.73,-1.82,1.67,1.67,1.70
22.99,5.27,3.56,5.27,3.57,-3.57,-3.64,-1.88,1.70,1.70,1.71
23.22,5.27,3.56,5.27,3.55,-3.55,-3.55,-1.93,1.72,1.72,1.71
23.45,5.27,3.56,5.27,3.53,-3.53,-3.47,-1.99,1.73,1.73,1.71
23.69,5.26,3.49,5.26,3.50,-3.51,-3.38,-2.05,1.76,1.76,1.77
23.92,5.26,3.46,5.26,3.47,-3.49,-3.30,-2.10,1.78,1.78,1.81
24.16,5.27,3.46,5.27,3.46,-3.46,-3.24,-2.16,1.81,1.81,1.81
24.40,5.27,3.46,5.27,3.45,-3.43,-3.17,-2.22,1.84,1.84,1.81
24.65,5.27,3.43,5.27,3.42,-3.40,-3.12,-2.28,1.87,1.87,1.85
24.89,5.28,3.37,5.28,3.37,-3.37,-3.06,-2.34,1.91,1.91,1.91
25.14,5.28,3.31,5.28,3.32,-3.33,-3.02,-2.40,1.95,1.95,1.97
25.39,5.28,3.27,5.28,3.28,-3.28,-2.98,-2.47,2.00,2.00,2.01
25.65,5.28,3.26,5.28,3.24,-3.23,-2.94,-2.53,2.05,2.05,2.02
25.91,5.28,3.19,5.28,3.19,-3.18,-2.91,-2.59,2.10,2.10,2.09
26.16,5.28,3.13,5.28,3.13,-3.13,-2.88,-2.65,2.15,2.15,2.15
26.43,5.27,3.06,5.27,3.05,-3.07,-2.85,-2.71,2.20,2.20,2.22
26.69,5.27,2.99,5.27,3.01,-3.02,-2.83,-2.77,2.26,2.26,2.28
26.96,5.27,2.96,5.27,2.97,-2.96,-2.80,-2.83,2.31,2.31,2.31
27.23,5.27,2.96,5.27,2.93,-2.92,-2.78,-2.89,2.36,2.36,2.32
27.50,5.28,2.87,5.28,2.88,-2.88,-2.76,-2.95,2.40,2.40,2.41
27.77,5.28,2.82,5.28,2.83,-2.84,-2.75,-3.00,2.44,2.44,2.46
28.05,5.29,2.78,5.29,2.79,-2.81,-2.73,-3.05,2.48,2.48,2.51
28.33,5.29,2.78,5.29,2.78,-2.78,-2.71,-3.10,2.51,2.51,2.51
28.62,5.30,2.79,5.30,2.77,-2.75,-2.69,-3.15,2.54,2.54,2.51
28.90,5.30,2.76,5.30,2.75,-2.73,-2.68,-3.19,2.56,2.56,2.53
29.19,5.30,2.69,5.30,2.72,-2.72,-2.66,-3.23,2.58,2.58,2.61
29.48,5.30,2.69,5.30,2.69,-2.71,-2.65,-3.26,2.59,2.59,2.61
29.78,5.30,2.69,5.30,2.69,-2.71,-2.64,-3.29,2.59,2.59,2.61
30.08,5.31,2.70,5.31,2.70,-2.70,-2.62,-3.32,2.60,2.60,2.61
30.38,5.31,2.70,5.31,2.70,-2.70,-2.61,-3.34,2.61,2.61,2.61
30.68,5.31,2.70,5.31,2.71,-2.69,-2.60,-3.36,2.62,2.62,2.61
30.99,5.31,2.70,5.31,2.71,-2.68,-2.58,-3.37,2.63,2.63,2.61
31.30,5.31,2.70,5.31,2.68,-2.68,-2.57,-3.37,2.64,2.64,2.61
31.61,5.31,2.65,5.31,2.65,-2.67,-2.56,-3.38,2.65,2.65,2.66
31.93,5.31,2.61,5.31,2.63,-2.65,-2.54,-3.37,2.67,2.67,2.71
32.24,5.31,2.61,5.31,2.61,-2.61,-2.53,-3.37,2.70,2.70,2.71
32.57,5.31,2.61,5.31,2.60,-2.58,-2.52,-3.35,2.74,2.74,2.71
32.89,5.31,2.58,5.31,2.57,-2.53,-2.51,-3.34,2.78,2.78,2.73
33.22,5.31,2.50,5.31,2.51,-2.49,-2.49,-3.31,2.83,2.83,2.81
33.55,5.31,2.43,5.31,2.43,-2.44,-2.48,-3.29,2.88,2.88,2.88
33.89,5.31,2.37,5.31,2.37,-2.39,-2.47,-3.26,2.93,2.93,2.95
34.23,5.31,2.30,5.31,2.33,-2.34,-2.46,-3.22,2.97,2.97,3.01
34.57,5.31,2.30,5.31,2.28,-2.30,-2.44,-3.19,3.02,3.02,3.01
34.92,5.31,2.26,5.31,2.25,-2.26,-2.43,-3.15,3.05,3.05,3.05
35.27,5.31,2.20,5.31,2.22,-2.23,-2.42,-3.11,3.08,3.08,3.11
35.62,5.30,2.19,5.30,2.19,-2.20,-2.41,-3.06,3.10,3.10,3.11
35.97,5.29,2.19,5.30,2.19,-2.18,-2.39,-3.02,3.11,3.11,3.11
36.33,5.29,2.18,5.29,2.18,-2.16,-2.38,-2.97,3.13,3.13,3.11
36.70,5.29,2.18,5.29,2.16,-2.14,-2.37,-2.92,3.15,3.15,3.11
37.06,5.29,2.12,5.29,2.13,-2.11,-2.35,-2.87,3.17,3.17,3.16
37.43,5.29,2.08,5.29,2.10,-2.08,-2.34,-2.82,3.20,3.20,3.21
37.81,5.29,2.08,5.29,2.05,-2.05,-2.33,-2.77,3.23,3.23,3.21
