frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.31,-3.82,6.31,-3.82,3.82,-0.01,1.09,10.13,10.13,10.13
20.20,6.36,-3.79,6.36,-3.79,3.79,-0.01,1.13,10.15,10.15,10.15
20.40,6.41,-3.77,6.41,-3.76,3.76,-0.01,1.16,10.18,10.18,10.18
20.61,6.47,-3.73,6.47,-3.73,3.73,-0.01,1.20,10.20,10.20,10.20
20.81,6.52,-3.70,6.52,-3.70,3.70,-0.01,1.23,10.21,10.21,10.21
21.02,6.57,-3.66,6.57,-3.66,3.66,-0.01,1.27,10.23,10.23,10.23
21.23,6.62,-3.62,6.62,-3.62,3.62,-0.01,1.31,10.24,10.24,10.24
21.44,6.67,-3.58,6.67,-3.58,3.58,-0.01,1.35,10.25,10.25,10.25
21.66,6.72,-3.54,6.72,-3.54,3.54,-0.01,1.39,10.26,10.26,10.26
21.87,6.77,-3.49,6.77,-3.49,3.49,-0.01,1.43,10.27,10.27,10.27
22.09,6.82,-3.45,6.82,-3.45,3.45,-0.01,1.48,10.27,10.27,10.27
22.31,6.87,-3.40,6.87,-3.40,3.40,-0.01,1.52,10.27,10.27,10.27
22.54,6.92,-3.35,6.92,-3.35,3.34,-0.01,1.57,10.27,10.27,10.27
22.76,6.97,-3.29,6.97,-3.29,3.29,-0.01,1.61,10.26,10.26,10.26
22.99,7.02,-3.24,7.02,-3.24,3.24,-0.01,1.66,10.26,10.26,10.26
23.22,7.07,-3.18,7.07,-3.18,3.18,-0.01,1.71,10.25,10.25,10.25
23.45,7.12,-3.12,7.12,-3.12,3.12,-0.01,1.76,10.24,10.24,10.24
23.69,7.17,-3.06,7.17,-3.06,3.06,-0.01,1.81,10.23,10.23,10.23
23.92,7.22,-3.01,7.22,-3.01,3.01,-0.01,1.86,10.22,10.22,10.22
24.16,7.26,-2.95,7.26,-2.95,2.95,-0.01,1.92,10.22,10.22,10.22
24.40,7.31,-2.90,7.31,-2.90,2.90,-0.01,1.97,10.21,10.21,10.21
24.65,7.36,-2.85,7.36,-2.85,2.85,-0.01,2.02,10.20,10.20,10.20
24.89,7.41,-2.80,7.41,-2.80,2.80,-0.01,2.08,10.20,10.20,10.20
25.14,7.45,-2.75,7.45,-2.75,2.75,-0.01,2.13,10.20,10.20,10.20
25.39,7.50,-2.70,7.50,-2.70,2.71,-0.01,2.19,10.20,10.20,10.20
25.65,7.54,-2.66,7.54,-2.66,2.67,-0.01,2.24,10.21,10.21,10.21
25.91,7.59,-2.63,7.59,-2.63,2.63,-0.01,2.30,10.22,10.22,10.21
26.16,7.63,-2.60,7.63,-2.60,2.60,-0.01,2.35,10.23,10.23,10.23
26.43,7.67,-2.57,7.67,-2.57,2.57,-0.01,2.41,10.25,10.25,10.24
26.69,7.72,-2.55,7.72,-2.55,2.55,-0.01,2.46,10.26,10.26,10.26
26.96,7.76,-2.52,7.76,-2.52,2.52,-0.01,2.51,10.28,10.28,10.28
27.23,7.80,-2.50,7.80,-2.50,2.49,-0.01,2.56,10.30,10.30,10.30
27.50,7.84,-2.47,7.84,-2.47,2.47,-0.01,2.61,10.31,10.31,10.31
27.77,7.88,-2.44,7.88,-2.44,2.44,-0.01,2.65,10.32,10.32,10.33
