frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,0.65,8.56,0.65,-0.63,-0.54,-0.32,7.93,7.93,7.91
20.20,8.56,0.62,8.56,0.62,-0.62,-0.56,-0.33,7.94,7.94,7.94
20.40,8.56,0.60,8.56,0.60,-0.61,-0.58,-0.33,7.96,7.95,7.96
20.61,8.57,0.58,8.57,0.59,-0.60,-0.59,-0.34,7.97,7.97,7.98
20.81,8.58,0.58,8.58,0.58,-0.59,-0.61,-0.35,7.98,7.98,8.00
21.02,8.59,0.58,8.59,0.58,-0.59,-0.63,-0.36,8.00,8.00,8.01
21.23,8.61,0.58,8.61,0.58,-0.59,-0.64,-0.37,8.02,8.02,8.03
21.44,8.62,0.59,8.62,0.59,-0.58,-0.66,-0.39,8.04,8.04,8.04
21.66,8.64,0.59,8.64,0.59,-0.59,-0.68,-0.40,8.05,8.05,8.05
21.87,8.65,0.60,8.65,0.60,-0.59,-0.70,-0.41,8.06,8.06,8.05
22.09,8.65,0.60,8.65,0.60,-0.59,-0.72,-0.42,8.06,8.06,8.06
22.31,8.65,0.59,8.65,0.60,-0.59,-0.74,-0.43,8.06,8.06,8.06
22.54,8.65,0.59,8.65,0.59,-0.59,-0.75,-0.44,8.06,8.06,8.06
22.76,8.64,0.59,8.64,0.59,-0.60,-0.77,-0.46,8.05,8.05,8.05
22.99,8.64,0.60,8.64,0.60,-0.60,-0.79,-0.47,8.03,8.04,8.04
23.22,8.64,0.61,8.64,0.61,-0.62,-0.81,-0.48,8.03,8.03,8.04
23.45,8.65,0.62,8.65,0.62,-0.63,-0.83,-0.50,8.02,8.02,8.03
23.69,8.67,0.65,8.67,0.65,-0.65,-0.85,-0.51,8.01,8.01,8.02
23.92,8.69,0.68,8.69,0.68,-0.68,-0.86,-0.52,8.01,8.01,8.01
24.16,8.71,0.71,8.71,0.71,-0.70,-0.88,-0.54,8.00,8.00,8.00
24.40,8.73,0.73,8.73,0.73,-0.73,-0.89,-0.55,8.00,8.00,8.00
24.65,8.75,0.76,8.75,0.76,-0.75,-0.91,-0.57,8.00,8.00,7.99
