frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,0.66,8.56,0.66,-0.63,-0.67,-0.47,7.93,7.93,7.90
20.20,8.56,0.66,8.56,0.66,-0.65,-0.68,-0.48,7.91,7.91,7.90
20.40,8.56,0.67,8.56,0.66,-0.67,-0.69,-0.49,7.89,7.89,7.90
20.61,8.57,0.67,8.57,0.67,-0.69,-0.70,-0.51,7.87,7.88,7.90
20.81,8.58,0.69,8.58,0.69,-0.71,-0.71,-0.52,7.87,7.87,7.89
21.02,8.59,0.71,8.59,0.71,-0.73,-0.72,-0.54,7.86,7.86,7.88
21.23,8.61,0.73,8.61,0.74,-0.75,-0.73,-0.55,7.86,7.86,7.87
21.44,8.62,0.77,8.62,0.77,-0.77,-0.74,-0.57,7.86,7.86,7.86
21.66,8.64,0.79,8.64,0.79,-0.79,-0.75,-0.58,7.85,7.85,7.84
21.87,8.65,0.82,8.65,0.82,-0.81,-0.76,-0.60,7.84,7.84,7.83
22.09,8.65,0.84,8.65,0.84,-0.82,-0.77,-0.61,7.83,7.83,7.82
22.31,8.65,0.84,8.65,0.85,-0.83,-0.78,-0.63,7.82,7.82,7.81
22.54,8.65,0.85,8.65,0.85,-0.84,-0.79,-0.65,7.81,7.81,7.80
22.76,8.64,0.84,8.64,0.84,-0.84,-0.80,-0.67,7.80,7.80,7.80
22.99,8.64,0.83,8.64,0.83,-0.84,-0.82,-0.69,7.80,7.80,7.81
23.22,8.64,0.83,8.64,0.83,-0.84,-0.83,-0.70,7.81,7.81,7.81
23.45,8.65,0.83,8.65,0.83,-0.84,-0.84,-0.72,7.81,7.81,7.82
23.69,8.67,0.83,8.67,0.83,-0.84,-0.85,-0.74,7.83,7.83,7.83
23.92,8.69,0.84,8.69,0.84,-0.85,-0.86,-0.76,7.84,7.84,7.84
24.16,8.71,0.86,8.71,0.86,-0.86,-0.87,-0.78,7.85,7.85,7.85
24.40,8.73,0.87,8.73,0.87,-0.87,-0.88,-0.81,7.86,7.86,7.86
24.65,8.75,0.89,8.75,0.89,-0.89,-0.89,-0.83,7.86,7.86,7.86
24.89,8.76,0.91,8.76,0.91,-0.90,-0.90,-0.85,7.86,7.86,7.86
25.14,8.77,0.92,8.77,0.92,-0.92,-0.91,-0.87,7.86,7.86,7.85
25.39,8.78,0.93,8.78,0.93,-0.93,-0.93,-0.89,7.85,7.85,7.85
25.65,8.79,0.94,8.79,0.94,-0.94,-0.94,-0.91,7.84,7.84,7.84
25.91,8.80,0.96,8.80,0.96,-0.96,-0.95,-0.94,7.84,7.84,7.84
26.16,8.81,0.97,8.81,0.97,-0.97,-0.96,-0.96,7.84,7.84,7.84
26.43,8.82,0.98,8.82,0.98,-0.98,-0.97,-0.98,7.84,7.84,7.84
26.69,8.83,0.99,8.83,0.99,-0.99,-0.98,-1.00,7.84,7.84,7.84
26.96,8.84,1.00,8.84,1.00,-1.00,-1.00,-1.02,7.84,7.84,7.84
27.23,8.85,1.01,8.85,1.01,-1.02,-1.01,-1.05,7.83,7.83,7.84
27.50,8.86,1.02,8.86,1.03,-1.03,-1.02,-1.07,7.83,7.83,7.83
27.77,8.86,1.04,8.86,1.04,-1.04,-1.03,-1.09,7.82,7.82,7.82
28.05,8.86,1.05,8.86,1.05,-1.05,-1.04,-1.11,7.81,7.81,7.81
28.33,8.86,1.06,8.86,1.06,-1.06,-1.05,-1.13,7.81,7.81,7.80
28.62,8.86,1.07,8.86,1.07,-1.06,-1.07,-1.15,7.80,7.80,7.79
28.90,8.85,1.07,8.85,1.07,-1.06,-1.08,-1.17,7.79,7.79,7.78
29.19,8.84,1.07,8.84,1.07,-1.07,-1.09,-1.18,7.78,7.78,7.77
29.48,8.83,1.07,8.83,1.07,-1.07,-1.10,-1.20,7.76,7.76,7.76
29.78,8.82,1.07,8.82,1.07,-1.08,-1.12,-1.22,7.75,7.75,7.75
30.08,8.82,1.07,8.82,1.07,-1.09,-1.13,-1.23,7.73,7.73,7.75
30.38,8.82,1.08,8.82,1.09,-1.10,-1.14,-1.25,7.72,7.72,7.74
30.68,8.83,1.10,8.83,1.11,-1.11,-1.15,-1.26,7.72,7.72,7.73
30.99,8.85,1.13,8.85,1.13,-1.13,-1.17,-1.27,7.72,7.72,7.72
31.30,8.87,1.16,8.87,1.16,-1.15,-1.18,-1.28,7.72,7.72,7.71
31.61,8.88,1.18,8.88,1.18,-1.17,-1.19,-1.29,7.71,7.71,7.70
31.93,8.88,1.20,8.88,1.20,-1.18,-1.20,-1.30,7.70,7.70,7.69
32.24,8.88,1.20,8.88,1.20,-1.20,-1.22,-1.31,7.68,7.68,7.67
32.57,8.87,1.21,8.87,1.21,-1.21,-1.23,-1.31,7.66,7.66,7.66
32.89,8.85,1.21,8.85,1.21,-1.21,-1.24,-1.32,7.64,7.64,7.65
33.22,8.84,1.21,8.85,1.21,-1.22,-1.26,-1.33,7.62,7.62,7.63
33.55,8.84,1.22,8.84,1.22,-1.23,-1.27,-1.33,7.61,7.61,7.62
33.89,8.84,1.23,8.84,1.23,-1.24,-1.28,-1.33,7.61,7.61,7.61
34.23,8.85,1.25,8.85,1.25,-1.25,-1.29,-1.34,7.60,7.60,7.60
34.57,8.86,1.27,8.86,1.27,-1.26,-1.31,-1.34,7.59,7.59,7.59
34.92,8.86,1.28,8.86,1.28,-1.28,-1.32,-1.34,7.58,7.58,7.58
35.27,8.86,1.29,8.86,1.29,-1.29,-1.33,-1.34,7.57,7.57,7.57
35.62,8.86,1.31,8.86,1.31,-1.30,-1.35,-1.34,7.55,7.55,7.55
35.97,8.85,1.32,8.85,1.32,-1.32,-1.36,-1.35,7.53,7.53,7.53
