frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.93,4.90,11.93,4.90,-4.93,-4.63,-2.05,7.00,7.00,7.03
20.20,11.94,4.78,11.94,4.78,-4.79,-4.63,-2.11,7.15,7.15,7.16
20.40,11.95,4.67,11.95,4.67,-4.66,-4.63,-2.17,7.29,7.29,7.28
20.61,11.95,4.56,11.95,4.56,-4.54,-4.59,-2.23,7.41,7.41,7.39
20.81,11.95,4.45,11.95,4.46,-4.44,-4.55,-2.30,7.51,7.51,7.49
21.02,11.95,4.36,11.95,4.36,-4.35,-4.49,-2.36,7.60,7.60,7.58
21.23,11.94,4.27,11.95,4.28,-4.26,-4.44,-2.43,7.68,7.68,7.67
21.44,11.95,4.20,11.95,4.20,-4.20,-4.39,-2.50,7.75,7.75,7.75
21.66,11.96,4.14,11.96,4.14,-4.13,-4.34,-2.57,7.83,7.83,7.82
21.87,11.97,4.08,11.97,4.08,-4.08,-4.31,-2.65,7.89,7.90,7.89
22.09,11.99,4.04,11.99,4.04,-4.04,-4.28,-2.72,7.95,7.95,7.95
22.31,12.01,4.02,12.01,4.02,-4.03,-4.26,-2.80,7.98,7.98,7.99
22.54,12.03,4.02,12.03,4.02,-4.04,-4.25,-2.88,7.99,7.99,8.01
22.76,12.04,4.04,12.04,4.05,-4.08,-4.24,-2.97,7.96,7.96,8.00
22.99,12.05,4.10,12.05,4.10,-4.14,-4.23,-3.05,7.91,7.91,7.95
23.22,12.05,4.18,12.05,4.18,-4.22,-4.23,-3.14,7.83,7.83,7.87
23.45,12.05,4.29,12.05,4.29,-4.32,-4.24,-3.22,7.73,7.73,7.77
23.69,12.05,4.41,12.05,4.41,-4.42,-4.24,-3.32,7.63,7.63,7.64
23.92,12.05,4.53,12.05,4.53,-4.51,-4.25,-3.41,7.54,7.54,7.52
24.16,12.05,4.63,12.05,4.62,-4.57,-4.26,-3.50,7.48,7.48,7.42
24.40,12.05,4.68,12.05,4.67,-4.60,-4.28,-3.60,7.45,7.45,7.37
24.65,12.05,4.67,12.05,4.66,-4.59,-4.29,-3.69,7.46,7.46,7.38
24.89,12.05,4.61,12.05,4.60,-4.54,-4.30,-3.79,7.50,7.50,7.44
25.14,12.05,4.50,12.05,4.50,-4.47,-4.32,-3.89,7.57,7.57,7.55
25.39,12.04,4.37,12.04,4.37,-4.39,-4.34,-3.99,7.65,7.65,7.67
25.65,12.04,4.26,12.04,4.26,-4.31,-4.35,-4.09,7.73,7.73,7.78
25.91,12.04,4.16,12.04,4.17,-4.24,-4.37,-4.19,7.80,7.79,7.87
26.16,12.03,4.13,12.03,4.13,-4.20,-4.39,-4.29,7.83,7.83,7.90
26.43,12.02,4.13,12.02,4.13,-4.18,-4.40,-4.39,7.84,7.84,7.89
26.69,12.01,4.17,12.01,4.17,-4.19,-4.42,-4.49,7.81,7.81,7.84
26.96,12.00,4.24,12.00,4.24,-4.23,-4.44,-4.58,7.77,7.77,7.76
27.23,11.99,4.32,11.99,4.32,-4.29,-4.46,-4.68,7.71,7.71,7.67
27.50,11.99,4.39,11.98,4.39,-4.35,-4.47,-4.77,7.64,7.64,7.59
27.77,11.98,4.44,11.98,4.44,-4.41,-4.49,-4.86,7.56,7.56,7.53
28.05,11.97,4.49,11.97,4.49,-4.48,-4.51,-4.95,7.49,7.49,7.48
28.33,11.96,4.53,11.96,4.53,-4.54,-4.52,-5.03,7.43,7.43,7.43
28.62,11.95,4.57,11.95,4.58,-4.59,-4.54,-5.12,7.36,7.36,7.38
28.90,11.94,4.63,11.94,4.63,-4.64,-4.55,-5.19,7.30,7.30,7.32
29.19,11.93,4.68,11.93,4.68,-4.69,-4.57,-5.26,7.24,7.24,7.25
29.48,11.93,4.74,11.93,4.73,-4.74,-4.58,-5.32,7.18,7.19,7.19
29.78,11.92,4.78,11.92,4.78,-4.79,-4.59,-5.38,7.13,7.13,7.13
30.08,11.91,4.83,11.91,4.83,-4.84,-4.60,-5.43,7.07,7.07,7.09
30.38,11.91,4.86,11.91,4.87,-4.88,-4.61,-5.48,7.03,7.03,7.04
30.68,11.90,4.90,11.90,4.90,-4.89,-4.62,-5.52,7.00,7.00,7.00
30.99,11.89,4.91,11.89,4.92,-4.89,-4.63,-5.55,7.01,7.01,6.98
31.30,11.89,4.92,11.89,4.91,-4.85,-4.64,-5.57,7.04,7.04,6.97
31.61,11.88,4.87,11.88,4.86,-4.79,-4.65,-5.59,7.09,7.09,7.01
31.93,11.88,4.77,11.88,4.77,-4.72,-4.65,-5.60,7.16,7.16,7.10
32.24,11.87,4.65,11.87,4.65,-4.64,-4.66,-5.60,7.23,7.23,7.22
32.57,11.87,4.52,11.87,4.53,-4.57,-4.66,-5.60,7.30,7.30,7.35
32.89,11.86,4.43,11.86,4.43,-4.52,-4.67,-5.59,7.35,7.35,7.44
33.22,11.86,4.38,11.86,4.39,-4.49,-4.67,-5.57,7.37,7.37,7.48
33.55,11.85,4.40,11.85,4.41,-4.48,-4.67,-5.55,7.38,7.38,7.45
33.89,11.85,4.47,11.85,4.47,-4.49,-4.66,-5.52,7.35,7.35,7.37
34.23,11.84,4.56,11.84,4.56,-4.53,-4.66,-5.49,7.31,7.31,7.27
34.57,11.83,4.64,11.83,4.63,-4.57,-4.66,-5.45,7.26,7.26,7.18
34.92,11.81,4.68,11.81,4.68,-4.62,-4.65,-5.41,7.20,7.20,7.14
35.27,11.80,4.69,11.80,4.69,-4.66,-4.64,-5.37,7.14,7.14,7.11
35.62,11.78,4.68,11.78,4.68,-4.68,-4.63,-5.33,7.10,7.10,7.11
35.97,11.76,4.66,11.77,4.67,-4.70,-4.62,-5.28,7.07,7.07,7.10
36.33,11.75,4.66,11.75,4.67,-4.69,-4.61,-5.23,7.05,7.05,7.08
36.70,11.73,4.67,11.73,4.67,-4.67,-4.60,-5.18,7.05,7.05,7.06
37.06,11.71,4.67,11.71,4.67,-4.65,-4.59,-5.13,7.07,7.07,7.05
37.43,11.70,4.65,11.70,4.65,-4.61,-4.58,-5.08,7.09,7.09,7.05
37.81,11.68,4.62,11.68,4.61,-4.57,-4.57,-5.03,7.11,7.11,7.07
38.19,11.67,4.56,11.67,4.56,-4.54,-4.56,-4.98,7.13,7.13,7.11
38.57,11.65,4.49,11.65,4.49,-4.50,-4.56,-4.94,7.15,7.15,7.16
38.95,11.64,4.44,11.64,4.44,-4.48,-4.55,-4.89,7.16,7.16,7.20
39.34,11.62,4.41,11.62,4.41,-4.46,-4.55,-4.85,7.16,7.16,7.22
39.74,11.61,4.42,11.61,4.42,-4.46,-4.55,-4.81,7.15,7.15,7.19
40.14,11.60,4.46,11.60,4.46,-4.47,-4.56,-4.77,7.13,7.13,7.14
40.54,11.58,4.52,11.58,4.51,-4.49,-4.56,-4.73,7.09,7.09,7.07
40.94,11.57,4.56,11.57,4.56,-4.53,-4.57,-4.70,7.04,7.04,7.00
41.35,11.55,4.60,11.55,4.59,-4.58,-4.59,-4.67,6.98,6.98,6.96
41.76,11.54,4.62,11.54,4.62,-4.62,-4.60,-4.64,6.91,6.91,6.92
42.18,11.52,4.65,11.52,4.65,-4.67,-4.62,-4.61,6.85,6.85,6.88
42.60,11.51,4.69,11.51,4.69,-4.71,-4.64,-4.59,6.80,6.80,6.82
43.03,11.49,4.74,11.49,4.74,-4.73,-4.66,-4.57,6.76,6.76,6.75
43.46,11.47,4.79,11.47,4.78,-4.75,-4.68,-4.56,6.72,6.72,6.68
43.90,11.45,4.80,11.45,4.80,-4.77,-4.71,-4.55,6.68,6.68,6.65
44.33,11.43,4.80,11.43,4.80,-4.78,-4.73,-4.54,6.65,6.65,6.63
44.78,11.41,4.78,11.41,4.78,-4.79,-4.75,-4.54,6.62,6.62,6.63
45.23,11.39,4.77,11.39,4.77,-4.80,-4.77,-4.53,6.59,6.59,6.62
45.68,11.36,4.78,11.36,4.78,-4.81,-4.79,-4.54,6.55,6.55,6.59
46.13,11.34,4.80,11.34,4.80,-4.82,-4.81,-4.54,6.52,6.52,6.54
46.60,11.32,4.83,11.32,4.83,-4.84,-4.83,-4.55,6.48,6.48,6.48
47.06,11.29,4.86,11.29,4.86,-4.86,-4.84,-4.57,6.44,6.44,6.43
47.53,11.27,4.89,11.27,4.89,-4.88,-4.86,-4.58,6.39,6.39,6.38
48.01,11.24,4.90,11.24,4.90,-4.89,-4.87,-4.60,6.35,6.35,6.34
48.49,11.22,4.91,11.22,4.91,-4.90,-4.89,-4.62,6.32,6.32,6.31
48.97,11.20,4.92,11.20,4.91,-4.90,-4.90,-4.65,6.29,6.29,6.28
49.46,11.17,4.90,11.17,4.90,-4.89,-4.91,-4.67,6.28,6.28,6.27
