frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.92,-2.31,7.90,-2.34,2.53,-0.15,0.07,10.46,10.43,10.23
20.20,7.98,-2.26,8.00,-2.24,2.25,-0.16,0.07,10.23,10.25,10.24
20.40,8.12,-2.12,8.15,-2.09,1.98,-0.16,0.08,10.10,10.13,10.24
20.61,8.33,-1.91,8.34,-1.90,1.73,-0.17,0.08,10.06,10.07,10.24
20.81,8.60,-1.62,8.59,-1.63,1.50,-0.17,0.08,10.10,10.09,10.22
21.02,8.86,-1.34,8.86,-1.34,1.29,-0.17,0.09,10.15,10.15,10.20
21.23,9.11,-1.06,9.10,-1.07,1.09,-0.18,0.09,10.20,10.19,10.18
21.44,9.31,-0.84,9.30,-0.84,0.91,-0.18,0.10,10.22,10.21,10.15
21.66,9.46,-0.66,9.46,-0.66,0.71,-0.19,0.10,10.17,10.17,10.12
21.87,9.58,-0.51,9.58,-0.51,0.55,-0.19,0.11,10.13,10.12,10.09
22.09,9.66,-0.40,9.66,-0.41,0.42,-0.20,0.11,10.08,10.08,10.06
22.31,9.71,-0.33,9.71,-0.33,0.32,-0.20,0.12,10.04,10.04,10.04
22.54,9.75,-0.27,9.75,-0.27,0.26,-0.21,0.12,10.01,10.01,10.02
22.76,9.78,-0.23,9.78,-0.23,0.20,-0.21,0.13,9.99,9.99,10.01
22.99,9.81,-0.20,9.81,-0.19,0.17,-0.22,0.14,9.98,9.98,10.00
23.22,9.83,-0.16,9.83,-0.16,0.14,-0.22,0.14,9.97,9.97,10.00
23.45,9.84,-0.14,9.85,-0.14,0.13,-0.23,0.15,9.97,9.97,9.99
23.69,9.84,-0.13,9.84,-0.13,0.14,-0.23,0.15,9.98,9.98,9.97
23.92,9.82,-0.14,9.81,-0.14,0.16,-0.24,0.16,9.98,9.98,9.96
24.16,9.76,-0.18,9.75,-0.18,0.22,-0.24,0.16,9.98,9.97,9.93
24.40,9.66,-0.25,9.65,-0.25,0.31,-0.25,0.17,9.96,9.96,9.91
24.65,9.52,-0.35,9.52,-0.36,0.42,-0.26,0.18,9.94,9.94,9.88
24.89,9.36,-0.49,9.35,-0.50,0.54,-0.26,0.18,9.90,9.89,9.85
25.14,9.18,-0.64,9.17,-0.65,0.67,-0.27,0.19,9.84,9.84,9.82
25.39,8.99,-0.80,9.00,-0.79,0.77,-0.28,0.19,9.76,9.77,9.79
25.65,8.86,-0.91,8.85,-0.91,0.84,-0.28,0.20,9.70,9.70,9.76
25.91,8.77,-0.96,8.77,-0.96,0.87,-0.29,0.20,9.64,9.64,9.73
26.16,8.75,-0.95,8.77,-0.94,0.83,-0.30,0.21,9.58,9.60,9.71
26.43,8.84,-0.84,8.85,-0.83,0.74,-0.31,0.21,9.58,9.58,9.68
26.69,9.01,-0.65,9.00,-0.65,0.60,-0.31,0.21,9.60,9.60,9.65
26.96,9.21,-0.43,9.21,-0.43,0.42,-0.32,0.22,9.63,9.63,9.63
27.23,9.43,-0.19,9.43,-0.19,0.23,-0.33,0.22,9.66,9.66,9.62
27.50,9.63,0.02,9.63,0.02,0.05,-0.34,0.22,9.68,9.68,9.61
27.77,9.78,0.18,9.78,0.18,-0.10,-0.35,0.22,9.69,9.68,9.60
28.05,9.88,0.29,9.87,0.28,-0.20,-0.36,0.22,9.68,9.67,9.60
28.33,9.90,0.31,9.90,0.31,-0.25,-0.37,0.21,9.65,9.65,9.59
28.62,9.87,0.29,9.87,0.29,-0.24,-0.38,0.21,9.63,9.63,9.58
28.90,9.78,0.22,9.78,0.22,-0.18,-0.39,0.21,9.60,9.60,9.56
29.19,9.66,0.12,9.66,0.12,-0.08,-0.40,0.20,9.58,9.58,9.54
29.48,9.52,-0.01,9.52,-0.01,0.03,-0.41,0.19,9.55,9.55,9.52
29.78,9.37,-0.13,9.37,-0.14,0.13,-0.42,0.18,9.50,9.50,9.50
30.08,9.23,-0.25,9.23,-0.25,0.19,-0.44,0.17,9.43,9.42,9.48
30.38,9.13,-0.32,9.14,-0.31,0.20,-0.45,0.16,9.33,9.34,9.45
30.68,9.11,-0.32,9.13,-0.30,0.14,-0.46,0.14,9.25,9.27,9.43
30.99,9.22,-0.19,9.22,-0.18,0.02,-0.47,0.13,9.24,9.24,9.40
31.30,9.40,0.03,9.41,0.04,-0.14,-0.49,0.11,9.27,9.27,9.37
31.61,9.65,0.30,9.65,0.31,-0.31,-0.50,0.09,9.33,9.34,9.35
31.93,9.91,0.59,9.89,0.58,-0.47,-0.52,0.07,9.43,9.42,9.32
32.24,10.07,0.78,10.07,0.78,-0.59,-0.53,0.04,9.48,9.48,9.28
32.57,10.16,0.91,10.13,0.88,-0.66,-0.55,0.02,9.50,9.47,9.25
32.89,10.08,0.86,10.07,0.84,-0.67,-0.57,-0.01,9.41,9.40,9.22
33.22,9.89,0.70,9.89,0.70,-0.63,-0.58,-0.04,9.26,9.26,9.19
33.55,9.65,0.50,9.65,0.50,-0.55,-0.60,-0.07,9.09,9.10,9.15
33.89,9.42,0.30,9.44,0.32,-0.47,-0.62,-0.11,8.95,8.97,9.12
34.23,9.30,0.22,9.31,0.23,-0.40,-0.64,-0.14,8.90,8.91,9.08
34.57,9.26,0.22,9.28,0.24,-0.35,-0.66,-0.18,8.90,8.92,9.04
34.92,9.34,0.34,9.33,0.33,-0.36,-0.68,-0.21,8.98,8.97,9.00
35.27,9.43,0.47,9.42,0.45,-0.42,-0.71,-0.26,9.02,9.00,8.96
35.62,9.52,0.59,9.51,0.58,-0.53,-0.73,-0.30,8.99,8.98,8.93
35.97,9.58,0.70,9.59,0.70,-0.68,-0.75,-0.34,8.91,8.91,8.89
36.33,9.66,0.81,9.67,0.82,-0.84,-0.78,-0.38,8.82,8.83,8.85
36.70,9.77,0.96,9.78,0.97,-1.02,-0.81,-0.43,8.76,8.77,8.81
37.06,9.92,1.15,9.92,1.15,-1.18,-0.83,-0.48,8.74,8.75,8.77
37.43,10.08,1.36,10.07,1.35,-1.32,-0.86,-0.52,8.76,8.75,8.73
37.81,10.20,1.52,10.20,1.52,-1.46,-0.89,-0.57,8.74,8.74,8.68
38.19,10.31,1.66,10.29,1.65,-1.59,-0.92,-0.62,8.72,8.70,8.64
38.57,10.33,1.73,10.33,1.73,-1.70,-0.96,-0.68,8.63,8.63,8.60
38.95,10.34,1.77,10.35,1.78,-1.80,-0.99,-0.73,8.54,8.55,8.57
39.34,10.35,1.82,10.35,1.82,-1.87,-1.03,-0.78,8.47,8.48,8.53
39.74,10.37,1.87,10.37,1.88,-1.91,-1.06,-0.84,8.45,8.46,8.50
40.14,10.39,1.93,10.39,1.93,-1.92,-1.10,-0.90,8.47,8.47,8.46
40.54,10.40,1.97,10.39,1.96,-1.91,-1.14,-0.95,8.49,8.48,8.43
40.94,10.35,1.95,10.35,1.95,-1.87,-1.19,-1.01,8.48,8.48,8.40
41.35,10.26,1.89,10.25,1.88,-1.81,-1.23,-1.07,8.44,8.44,8.37
41.76,10.12,1.78,10.11,1.78,-1.75,-1.28,-1.13,8.37,8.37,8.34
42.18,9.96,1.65,9.96,1.66,-1.68,-1.33,-1.20,8.28,8.28,8.30
