frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.29,-0.56,7.29,-0.55,0.51,1.00,0.65,7.80,7.80,7.84
20.20,7.15,-0.72,7.16,-0.73,0.73,1.06,0.67,7.88,7.88,7.88
20.40,7.02,-0.90,7.02,-0.91,0.93,1.13,0.69,7.95,7.95,7.92
20.61,6.89,-1.08,6.89,-1.08,1.11,1.20,0.71,8.00,8.00,7.97
20.81,6.76,-1.26,6.76,-1.26,1.28,1.28,0.73,8.04,8.03,8.02
21.02,6.62,-1.42,6.62,-1.42,1.43,1.36,0.76,8.05,8.05,8.05
21.23,6.49,-1.57,6.48,-1.57,1.56,1.45,0.78,8.05,8.05,8.06
21.44,6.35,-1.69,6.35,-1.69,1.68,1.54,0.80,8.03,8.03,8.04
21.66,6.21,-1.79,6.21,-1.80,1.79,1.63,0.82,8.00,8.00,8.01
21.87,6.08,-1.88,6.09,-1.88,1.88,1.72,0.85,7.96,7.97,7.97
22.09,5.98,-1.94,5.98,-1.95,1.95,1.82,0.87,7.93,7.93,7.93
22.31,5.90,-2.00,5.90,-2.00,1.99,1.90,0.90,7.89,7.89,7.90
22.54,5.85,-2.03,5.85,-2.03,2.02,1.98,0.92,7.87,7.87,7.88
22.76,5.82,-2.05,5.83,-2.05,2.03,2.05,0.95,7.86,7.86,7.87
22.99,5.83,-2.05,5.84,-2.04,2.03,2.11,0.98,7.86,7.86,7.88
23.22,5.87,-2.02,5.86,-2.02,2.01,2.15,1.01,7.88,7.88,7.89
23.45,5.90,-1.99,5.90,-1.99,1.99,2.18,1.04,7.89,7.89,7.89
23.69,5.94,-1.95,5.94,-1.95,1.97,2.17,1.06,7.91,7.91,7.89
23.92,5.97,-1.92,5.97,-1.92,1.94,2.17,1.09,7.91,7.91,7.89
24.16,5.98,-1.89,5.98,-1.90,1.92,2.13,1.12,7.91,7.91,7.88
24.40,5.98,-1.88,5.98,-1.89,1.91,2.09,1.16,7.89,7.89,7.87
24.65,5.97,-1.88,5.97,-1.88,1.90,2.03,1.19,7.87,7.87,7.85
24.89,5.95,-1.89,5.95,-1.89,1.89,1.97,1.22,7.84,7.84,7.84
25.14,5.94,-1.89,5.94,-1.89,1.88,1.90,1.25,7.82,7.82,7.83
25.39,5.94,-1.88,5.94,-1.88,1.85,1.83,1.28,7.79,7.80,7.82
25.65,5.96,-1.84,5.96,-1.84,1.82,1.75,1.31,7.78,7.78,7.81
25.91,6.00,-1.79,6.00,-1.79,1.77,1.68,1.35,7.77,7.77,7.79
26.16,6.06,-1.72,6.06,-1.72,1.71,1.61,1.38,7.76,7.76,7.78
26.43,6.13,-1.63,6.13,-1.63,1.63,1.55,1.41,7.76,7.76,7.77
