frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.94,1.53,12.94,1.53,-1.53,-1.01,-0.67,11.41,11.41,11.42
20.20,12.94,1.53,12.94,1.53,-1.53,-1.03,-0.69,11.42,11.42,11.42
20.40,12.94,1.53,12.94,1.53,-1.52,-1.04,-0.71,11.42,11.42,11.42
20.61,12.95,1.52,12.95,1.52,-1.52,-1.05,-0.73,11.43,11.43,11.42
20.81,12.95,1.52,12.95,1.52,-1.52,-1.07,-0.75,11.43,11.43,11.43
21.02,12.95,1.52,12.95,1.52,-1.51,-1.08,-0.77,11.43,11.43,11.43
21.23,12.95,1.51,12.95,1.51,-1.51,-1.10,-0.80,11.44,11.44,11.44
21.44,12.95,1.51,12.95,1.51,-1.51,-1.11,-0.82,11.44,11.44,11.44
21.66,12.96,1.51,12.96,1.51,-1.51,-1.12,-0.84,11.44,11.44,11.45
21.87,12.96,1.51,12.96,1.51,-1.51,-1.14,-0.87,11.45,11.45,11.45
22.09,12.97,1.51,12.97,1.51,-1.52,-1.15,-0.89,11.45,11.45,11.45
22.31,12.97,1.52,12.97,1.52,-1.52,-1.17,-0.92,11.45,11.45,11.45
22.54,12.98,1.53,12.98,1.53,-1.53,-1.18,-0.94,11.45,11.45,11.45
22.76,12.99,1.53,12.99,1.53,-1.53,-1.20,-0.97,11.45,11.45,11.45
22.99,12.99,1.54,12.99,1.54,-1.54,-1.21,-1.00,11.45,11.45,11.45
23.22,13.00,1.55,13.00,1.55,-1.54,-1.23,-1.02,11.45,11.45,11.45
23.45,13.00,1.55,13.00,1.55,-1.55,-1.24,-1.05,11.45,11.45,11.45
23.69,13.00,1.55,13.00,1.55,-1.55,-1.26,-1.08,11.45,11.45,11.45
23.92,13.00,1.55,13.00,1.55,-1.55,-1.27,-1.11,11.46,11.46,11.45
24.16,13.00,1.55,13.00,1.55,-1.54,-1.29,-1.14,11.46,11.46,11.46
24.40,13.00,1.54,13.00,1.54,-1.54,-1.30,-1.17,11.46,11.46,11.46
24.65,13.00,1.54,13.00,1.54,-1.54,-1.32,-1.20,11.47,11.47,11.47
24.89,13.00,1.53,13.00,1.53,-1.53,-1.33,-1.23,11.47,11.47,11.47
25.14,13.01,1.53,13.01,1.53,-1.53,-1.35,-1.27,11.47,11.47,11.48
25.39,13.01,1.53,13.01,1.53,-1.53,-1.36,-1.30,11.47,11.47,11.48
25.65,13.01,1.53,13.01,1.53,-1.54,-1.38,-1.33,11.47,11.47,11.47
25.91,13.01,1.54,13.01,1.54,-1.55,-1.39,-1.36,11.46,11.46,11.47
26.16,13.01,1.55,13.01,1.55,-1.55,-1.41,-1.40,11.46,11.46,11.46
26.43,13.01,1.56,13.01,1.56,-1.56,-1.42,-1.43,11.45,11.45,11.45
26.69,13.01,1.58,13.01,1.58,-1.57,-1.44,-1.46,11.44,11.44,11.44
26.96,13.02,1.59,13.02,1.59,-1.58,-1.46,-1.49,11.43,11.43,11.43
27.23,13.02,1.60,13.02,1.60,-1.59,-1.47,-1.52,11.42,11.43,11.42
27.50,13.02,1.60,13.02,1.60,-1.60,-1.49,-1.55,11.42,11.42,11.41
27.77,13.02,1.61,13.02,1.61,-1.60,-1.50,-1.58,11.41,11.41,11.41
28.05,13.01,1.61,13.01,1.61,-1.61,-1.52,-1.61,11.41,11.41,11.41
28.33,13.01,1.61,13.01,1.61,-1.61,-1.53,-1.64,11.40,11.40,11.40
28.62,13.01,1.61,13.01,1.61,-1.62,-1.55,-1.67,11.39,11.39,11.39
28.90,13.00,1.62,13.00,1.62,-1.62,-1.57,-1.70,11.38,11.38,11.38
29.19,13.00,1.63,13.00,1.63,-1.63,-1.58,-1.72,11.37,11.37,11.37
29.48,13.00,1.64,13.00,1.64,-1.64,-1.60,-1.74,11.36,11.36,11.36
29.78,13.00,1.65,13.00,1.65,-1.65,-1.61,-1.77,11.35,11.35,11.35
30.08,13.00,1.66,13.00,1.66,-1.66,-1.63,-1.79,11.35,11.34,11.34
30.38,13.00,1.67,13.00,1.67,-1.67,-1.64,-1.80,11.34,11.34,11.33
30.68,13.00,1.68,13.00,1.68,-1.68,-1.66,-1.82,11.33,11.33,11.33
30.99,13.00,1.68,13.00,1.68,-1.69,-1.68,-1.84,11.32,11.32,11.32
31.30,13.00,1.69,13.00,1.69,-1.69,-1.69,-1.85,11.31,11.31,11.31
31.61,13.00,1.70,13.00,1.70,-1.70,-1.71,-1.86,11.30,11.30,11.30
31.93,13.00,1.71,13.00,1.71,-1.71,-1.72,-1.87,11.29,11.29,11.29
32.24,13.00,1.72,13.00,1.72,-1.71,-1.74,-1.88,11.28,11.28,11.28
32.57,13.00,1.72,13.00,1.72,-1.72,-1.75,-1.89,11.28,11.28,11.27
32.89,13.00,1.73,13.00,1.73,-1.73,-1.77,-1.89,11.27,11.27,11.27
33.22,12.99,1.73,12.99,1.73,-1.73,-1.79,-1.89,11.26,11.26,11.26
33.55,12.99,1.74,12.99,1.74,-1.74,-1.80,-1.90,11.25,11.25,11.25
33.89,12.98,1.74,12.98,1.74,-1.75,-1.82,-1.90,11.23,11.23,11.24
34.23,12.97,1.75,12.97,1.75,-1.76,-1.83,-1.90,11.21,11.21,11.22
34.57,12.97,1.77,12.97,1.77,-1.78,-1.85,-1.90,11.19,11.19,11.20
34.92,12.96,1.79,12.96,1.79,-1.79,-1.86,-1.89,11.17,11.17,11.17
35.27,12.96,1.81,12.96,1.81,-1.80,-1.88,-1.89,11.16,11.16,11.15
35.62,12.95,1.82,12.95,1.82,-1.81,-1.89,-1.89,11.14,11.14,11.13
35.97,12.95,1.83,12.95,1.83,-1.82,-1.91,-1.89,11.13,11.13,11.12
36.33,12.95,1.83,12.94,1.83,-1.83,-1.93,-1.88,11.12,11.12,11.11
36.70,12.94,1.83,12.94,1.83,-1.84,-1.94,-1.88,11.10,11.10,11.11
37.06,12.94,1.84,12.94,1.84,-1.85,-1.96,-1.88,11.09,11.09,11.10
37.43,12.93,1.85,12.93,1.85,-1.85,-1.97,-1.87,11.08,11.08,11.09
37.81,12.93,1.86,12.93,1.86,-1.87,-1.99,-1.87,11.07,11.07,11.07
38.19,12.93,1.88,12.93,1.88,-1.88,-2.00,-1.87,11.05,11.05,11.05
38.57,12.92,1.90,12.92,1.90,-1.89,-2.02,-1.87,11.03,11.03,11.03
38.95,12.92,1.91,12.92,1.91,-1.91,-2.03,-1.87,11.01,11.01,11.00
39.34,12.91,1.93,12.91,1.93,-1.92,-2.05,-1.87,10.99,10.99,10.98
39.74,12.90,1.95,12.90,1.94,-1.94,-2.06,-1.87,10.96,10.96,10.96
40.14,12.90,1.96,12.90,1.96,-1.96,-2.08,-1.87,10.94,10.94,10.94
40.54,12.89,1.97,12.89,1.97,-1.97,-2.09,-1.88,10.91,10.91,10.92
40.94,12.88,1.99,12.88,1.99,-1.99,-2.11,-1.88,10.89,10.89,10.89
41.35,12.87,2.01,12.87,2.01,-2.02,-2.12,-1.89,10.86,10.86,10.87
41.76,12.87,2.04,12.87,2.04,-2.04,-2.13,-1.89,10.83,10.83,10.83
42.18,12.86,2.07,12.86,2.07,-2.06,-2.15,-1.90,10.79,10.79,10.79
42.60,12.85,2.10,12.85,2.09,-2.09,-2.16,-1.91,10.76,10.76,10.76
43.03,12.84,2.12,12.84,2.12,-2.11,-2.18,-1.92,10.73,10.74,10.72
43.46,12.84,2.15,12.84,2.15,-2.13,-2.19,-1.94,10.71,10.71,10.69
43.90,12.83,2.17,12.83,2.17,-2.16,-2.21,-1.95,10.67,10.67,10.66
44.33,12.82,2.19,12.82,2.19,-2.19,-2.22,-1.97,10.63,10.63,10.63
44.78,12.82,2.21,12.82,2.21,-2.23,-2.24,-1.99,10.58,10.58,10.61
45.23,12.81,2.23,12.81,2.24,-2.28,-2.25,-2.00,10.53,10.53,10.58
45.68,12.80,2.28,12.80,2.29,-2.34,-2.26,-2.02,10.46,10.46,10.52
46.13,12.79,2.35,12.79,2.36,-2.38,-2.28,-2.05,10.41,10.41,10.44
46.60,12.78,2.44,12.78,2.44,-2.42,-2.29,-2.07,10.36,10.36,10.34
47.06,12.77,2.51,12.77,2.50,-2.44,-2.30,-2.09,10.33,10.33,10.26
47.53,12.75,2.54,12.75,2.52,-2.44,-2.32,-2.12,10.32,10.32,10.21
