frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.56,-2.54,8.56,-2.54,2.59,-0.11,0.63,11.15,11.15,11.10
20.20,8.56,-2.55,8.56,-2.55,2.56,-0.12,0.65,11.12,11.12,11.11
20.40,8.56,-2.54,8.56,-2.55,2.53,-0.12,0.67,11.09,11.09,11.11
20.61,8.57,-2.53,8.57,-2.53,2.49,-0.12,0.69,11.06,11.06,11.10
20.81,8.58,-2.51,8.58,-2.51,2.46,-0.12,0.71,11.04,11.04,11.08
21.02,8.59,-2.47,8.59,-2.47,2.43,-0.13,0.73,11.03,11.03,11.06
21.23,8.61,-2.42,8.61,-2.42,2.40,-0.13,0.76,11.01,11.01,11.03
21.44,8.62,-2.37,8.62,-2.37,2.37,-0.13,0.78,11.00,11.00,10.99
21.66,8.64,-2.32,8.64,-2.32,2.33,-0.13,0.81,10.97,10.97,10.96
21.87,8.65,-2.28,8.65,-2.28,2.30,-0.14,0.83,10.94,10.94,10.92
22.09,8.65,-2.25,8.65,-2.25,2.27,-0.14,0.86,10.92,10.92,10.90
22.31,8.65,-2.23,8.65,-2.23,2.24,-0.14,0.89,10.90,10.90,10.88
22.54,8.65,-2.22,8.65,-2.22,2.23,-0.14,0.91,10.88,10.88,10.87
22.76,8.64,-2.21,8.64,-2.22,2.22,-0.15,0.94,10.86,10.86,10.86
22.99,8.64,-2.21,8.64,-2.21,2.21,-0.15,0.97,10.85,10.85,10.85
23.22,8.64,-2.21,8.64,-2.21,2.19,-0.15,1.00,10.84,10.84,10.85
23.45,8.65,-2.19,8.65,-2.19,2.18,-0.16,1.03,10.83,10.83,10.84
23.69,8.67,-2.17,8.67,-2.17,2.15,-0.16,1.06,10.82,10.82,10.83
23.92,8.69,-2.13,8.69,-2.13,2.12,-0.16,1.10,10.81,10.81,10.82
24.16,8.71,-2.09,8.71,-2.09,2.09,-0.17,1.13,10.80,10.80,10.80
24.40,8.73,-2.04,8.73,-2.04,2.05,-0.17,1.16,10.78,10.78,10.77
24.65,8.75,-2.00,8.75,-2.00,2.01,-0.17,1.19,10.76,10.76,10.75
24.89,8.76,-1.95,8.76,-1.95,1.96,-0.18,1.23,10.73,10.73,10.72
25.14,8.77,-1.91,8.77,-1.91,1.92,-0.18,1.26,10.69,10.69,10.69
25.39,8.78,-1.87,8.78,-1.87,1.87,-0.19,1.29,10.65,10.65,10.65
25.65,8.79,-1.82,8.79,-1.82,1.82,-0.19,1.32,10.60,10.60,10.61
25.91,8.80,-1.78,8.80,-1.77,1.76,-0.19,1.36,10.56,10.56,10.57
26.16,8.81,-1.72,8.81,-1.72,1.71,-0.20,1.39,10.51,10.51,10.53
26.43,8.82,-1.66,8.82,-1.66,1.65,-0.20,1.42,10.47,10.47,10.47
26.69,8.83,-1.59,8.83,-1.59,1.60,-0.21,1.45,10.43,10.43,10.42
26.96,8.84,-1.53,8.84,-1.53,1.54,-0.21,1.48,10.38,10.38,10.37
27.23,8.85,-1.48,8.85,-1.48,1.49,-0.21,1.51,10.34,10.34,10.33
27.50,8.86,-1.43,8.86,-1.43,1.45,-0.22,1.54,10.30,10.30,10.29
27.77,8.86,-1.40,8.86,-1.40,1.40,-0.22,1.56,10.26,10.26,10.26
28.05,8.86,-1.37,8.86,-1.37,1.36,-0.23,1.59,10.23,10.23,10.23
28.33,8.86,-1.34,8.86,-1.34,1.33,-0.23,1.61,10.19,10.19,10.20
28.62,8.86,-1.30,8.86,-1.30,1.29,-0.24,1.63,10.15,10.15,10.16
28.90,8.85,-1.26,8.85,-1.26,1.25,-0.24,1.64,10.10,10.10,10.12
29.19,8.84,-1.22,8.84,-1.22,1.22,-0.25,1.66,10.06,10.06,10.06
29.48,8.83,-1.17,8.83,-1.17,1.18,-0.25,1.67,10.01,10.01,10.01
29.78,8.82,-1.13,8.82,-1.13,1.14,-0.26,1.67,9.97,9.97,9.96
