frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.07,-7.36,4.07,-7.36,6.00,6.00,2.53,10.07,10.07,11.43
20.20,4.12,-7.31,4.12,-7.31,6.00,6.01,2.60,10.12,10.12,11.43
20.40,4.17,-7.26,4.17,-7.26,6.00,6.03,2.68,10.17,10.17,11.43
20.61,4.23,-7.20,4.23,-7.20,6.00,6.04,2.76,10.23,10.23,11.43
20.81,4.28,-7.15,4.28,-7.15,6.00,6.05,2.84,10.28,10.28,11.43
21.02,4.33,-7.10,4.33,-7.10,6.00,6.06,2.92,10.33,10.33,11.43
21.23,4.38,-7.05,4.38,-7.05,6.00,6.07,3.00,10.38,10.38,11.42
21.44,4.43,-6.99,4.43,-6.99,6.00,6.08,3.09,10.43,10.43,11.42
21.66,4.48,-6.94,4.48,-6.94,6.00,6.08,3.18,10.48,10.48,11.41
21.87,4.52,-6.89,4.52,-6.89,6.00,6.09,3.27,10.52,10.52,11.41
22.09,4.57,-6.83,4.57,-6.83,6.00,6.09,3.36,10.57,10.57,11.40
22.31,4.61,-6.78,4.61,-6.78,6.00,6.09,3.46,10.61,10.61,11.39
22.54,4.66,-6.73,4.66,-6.73,6.00,6.09,3.56,10.66,10.66,11.39
22.76,4.70,-6.68,4.70,-6.67,6.00,6.08,3.66,10.70,10.70,11.37
22.99,4.74,-6.62,4.74,-6.62,6.00,6.08,3.77,10.74,10.74,11.36
23.22,4.79,-6.56,4.79,-6.56,6.00,6.06,3.87,10.79,10.79,11.35
23.45,4.84,-6.50,4.84,-6.50,6.00,6.05,3.98,10.84,10.84,11.34
23.69,4.89,-6.44,4.89,-6.44,6.00,6.03,4.10,10.89,10.89,11.33
23.92,4.94,-6.38,4.94,-6.38,6.00,6.01,4.21,10.94,10.94,11.31
24.16,4.99,-6.31,4.99,-6.31,6.01,5.96,4.33,11.00,11.00,11.30
24.40,5.04,-6.25,5.04,-6.25,6.01,5.92,4.44,11.05,11.05,11.29
24.65,5.09,-6.19,5.09,-6.19,6.01,5.86,4.56,11.10,11.10,11.28
24.89,5.14,-6.13,5.14,-6.13,6.00,5.79,4.68,11.14,11.14,11.27
25.14,5.18,-6.08,5.18,-6.08,5.99,5.69,4.81,11.18,11.18,11.26
25.39,5.23,-6.02,5.23,-6.02,5.98,5.60,4.93,11.20,11.20,11.25
25.65,5.27,-5.97,5.27,-5.97,5.95,5.51,5.05,11.22,11.22,11.24
25.91,5.31,-5.92,5.31,-5.92,5.92,5.42,5.18,11.23,11.23,11.23
