frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.70,-5.12,7.70,-5.12,5.16,-0.00,1.52,12.86,12.86,12.82
20.20,7.71,-5.11,7.71,-5.11,5.12,-0.00,1.56,12.83,12.83,12.82
20.40,7.73,-5.10,7.72,-5.10,5.08,-0.00,1.61,12.81,12.81,12.82
20.61,7.75,-5.07,7.75,-5.07,5.04,-0.00,1.66,12.79,12.79,12.82
20.81,7.79,-5.03,7.79,-5.03,5.00,-0.00,1.71,12.79,12.79,12.82
21.02,7.85,-4.97,7.85,-4.97,4.95,-0.00,1.76,12.79,12.79,12.82
21.23,7.91,-4.91,7.91,-4.91,4.90,-0.00,1.81,12.81,12.81,12.82
21.44,7.98,-4.84,7.98,-4.84,4.85,-0.00,1.87,12.82,12.82,12.82
21.66,8.05,-4.77,8.04,-4.77,4.78,-0.00,1.92,12.83,12.83,12.82
21.87,8.11,-4.70,8.11,-4.70,4.72,-0.00,1.98,12.83,12.83,12.81
22.09,8.17,-4.64,8.17,-4.64,4.66,-0.00,2.04,12.82,12.82,12.81
22.31,8.22,-4.59,8.22,-4.59,4.60,-0.00,2.10,12.82,12.82,12.81
22.54,8.27,-4.54,8.27,-4.54,4.54,-0.00,2.16,12.81,12.81,12.81
22.76,8.32,-4.49,8.32,-4.49,4.48,-0.00,2.22,12.80,12.80,12.80
22.99,8.36,-4.44,8.37,-4.43,4.43,-0.00,2.29,12.79,12.79,12.80
23.22,8.42,-4.38,8.42,-4.38,4.37,-0.00,2.36,12.79,12.79,12.80
23.45,8.48,-4.32,8.48,-4.32,4.31,-0.00,2.42,12.79,12.79,12.80
23.69,8.54,-4.26,8.54,-4.26,4.26,-0.00,2.49,12.79,12.79,12.80
23.92,8.60,-4.20,8.60,-4.20,4.20,-0.00,2.56,12.80,12.80,12.79
24.16,8.65,-4.14,8.65,-4.14,4.15,-0.00,2.64,12.80,12.80,12.79
24.40,8.70,-4.09,8.70,-4.09,4.10,-0.00,2.71,12.80,12.80,12.79
24.65,8.74,-4.04,8.74,-4.04,4.05,-0.00,2.78,12.79,12.79,12.78
24.89,8.77,-4.01,8.77,-4.01,4.01,-0.00,2.86,12.78,12.78,12.78
25.14,8.80,-3.97,8.80,-3.97,3.97,-0.00,2.93,12.77,12.77,12.77
25.39,8.82,-3.94,8.83,-3.94,3.94,-0.00,3.01,12.76,12.76,12.77
25.65,8.85,-3.91,8.86,-3.91,3.90,-0.00,3.08,12.75,12.75,12.76
25.91,8.89,-3.87,8.89,-3.87,3.86,-0.00,3.16,12.75,12.75,12.76
26.16,8.93,-3.83,8.93,-3.83,3.82,-0.00,3.23,12.75,12.75,12.76
26.43,8.97,-3.78,8.97,-3.78,3.78,-0.00,3.31,12.75,12.75,12.75
26.69,9.01,-3.73,9.01,-3.73,3.74,-0.00,3.38,12.75,12.75,12.75
26.96,9.06,-3.69,9.05,-3.69,3.69,-0.00,3.45,12.75,12.75,12.74
