frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.48,1.79,10.48,1.79,-1.74,-1.62,-1.16,8.74,8.74,8.68
20.20,10.47,1.80,10.47,1.80,-1.79,-1.68,-1.19,8.68,8.68,8.67
20.40,10.47,1.81,10.47,1.81,-1.83,-1.74,-1.22,8.64,8.64,8.66
20.61,10.48,1.84,10.48,1.84,-1.88,-1.80,-1.26,8.60,8.60,8.64
20.81,10.51,1.89,10.51,1.89,-1.93,-1.86,-1.29,8.58,8.58,8.62
21.02,10.55,1.95,10.55,1.95,-1.98,-1.92,-1.33,8.58,8.58,8.61
21.23,10.60,2.01,10.60,2.01,-2.02,-1.98,-1.37,8.58,8.58,8.59
21.44,10.65,2.07,10.65,2.08,-2.07,-2.04,-1.41,8.58,8.58,8.57
21.66,10.70,2.14,10.70,2.14,-2.13,-2.10,-1.45,8.57,8.57,8.56
21.87,10.74,2.20,10.74,2.20,-2.19,-2.17,-1.49,8.55,8.55,8.54
22.09,10.78,2.25,10.78,2.25,-2.24,-2.23,-1.54,8.54,8.54,8.53
22.31,10.80,2.29,10.80,2.29,-2.28,-2.29,-1.58,8.52,8.52,8.51
22.54,10.81,2.32,10.81,2.32,-2.31,-2.34,-1.63,8.50,8.50,8.49
22.76,10.81,2.33,10.81,2.33,-2.33,-2.40,-1.67,8.48,8.48,8.48
22.99,10.80,2.34,10.79,2.34,-2.33,-2.45,-1.72,8.46,8.46,8.45
23.22,10.77,2.34,10.77,2.34,-2.33,-2.49,-1.77,8.44,8.44,8.43
23.45,10.74,2.33,10.74,2.33,-2.33,-2.54,-1.82,8.41,8.41,8.41
23.69,10.70,2.32,10.70,2.32,-2.32,-2.57,-1.87,8.39,8.39,8.39
23.92,10.67,2.30,10.67,2.30,-2.30,-2.61,-1.92,8.37,8.37,8.37
24.16,10.64,2.29,10.64,2.29,-2.29,-2.63,-1.97,8.35,8.35,8.35
24.40,10.61,2.27,10.61,2.27,-2.28,-2.66,-2.03,8.33,8.33,8.33
24.65,10.58,2.26,10.58,2.26,-2.27,-2.67,-2.08,8.31,8.32,8.32
24.89,10.57,2.26,10.57,2.26,-2.27,-2.68,-2.14,8.30,8.30,8.30
25.14,10.56,2.27,10.56,2.27,-2.28,-2.69,-2.19,8.28,8.28,8.29
25.39,10.55,2.28,10.55,2.28,-2.29,-2.69,-2.25,8.26,8.26,8.27
25.65,10.56,2.31,10.56,2.31,-2.31,-2.68,-2.30,8.24,8.24,8.25
25.91,10.57,2.34,10.57,2.34,-2.35,-2.68,-2.36,8.22,8.22,8.23
26.16,10.59,2.38,10.59,2.38,-2.38,-2.67,-2.42,8.20,8.21,8.21
26.43,10.61,2.42,10.61,2.42,-2.42,-2.66,-2.47,8.19,8.19,8.19
26.69,10.63,2.47,10.63,2.47,-2.47,-2.64,-2.53,8.17,8.17,8.16
26.96,10.66,2.52,10.66,2.52,-2.51,-2.63,-2.58,8.15,8.15,8.14
27.23,10.67,2.56,10.67,2.56,-2.55,-2.61,-2.64,8.12,8.12,8.12
27.50,10.69,2.59,10.69,2.60,-2.59,-2.60,-2.69,8.10,8.10,8.09
27.77,10.70,2.63,10.70,2.63,-2.63,-2.59,-2.74,8.07,8.07,8.07
28.05,10.70,2.66,10.70,2.66,-2.66,-2.57,-2.79,8.04,8.03,8.04
28.33,10.70,2.69,10.70,2.69,-2.69,-2.56,-2.84,8.00,8.01,8.01
28.62,10.70,2.72,10.70,2.72,-2.72,-2.55,-2.89,7.98,7.98,7.98
