frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.11,5.88,13.11,5.88,-5.89,-5.76,-2.29,7.22,7.22,7.23
20.20,13.10,5.87,13.10,5.87,-5.87,-5.79,-2.35,7.23,7.23,7.23
20.40,13.10,5.86,13.10,5.86,-5.85,-5.83,-2.42,7.25,7.25,7.24
20.61,13.09,5.84,13.09,5.84,-5.83,-5.84,-2.49,7.26,7.26,7.25
20.81,13.08,5.82,13.08,5.82,-5.81,-5.85,-2.56,7.27,7.27,7.26
21.02,13.07,5.79,13.07,5.79,-5.79,-5.84,-2.64,7.28,7.28,7.28
21.23,13.05,5.77,13.05,5.77,-5.77,-5.82,-2.71,7.28,7.29,7.29
21.44,13.04,5.74,13.04,5.74,-5.75,-5.79,-2.79,7.29,7.29,7.30
21.66,13.03,5.72,13.03,5.72,-5.72,-5.75,-2.87,7.30,7.30,7.31
21.87,13.02,5.70,13.02,5.70,-5.70,-5.72,-2.95,7.32,7.32,7.32
22.09,13.00,5.68,13.00,5.68,-5.68,-5.68,-3.04,7.33,7.33,7.33
22.31,12.99,5.66,12.99,5.66,-5.66,-5.64,-3.13,7.33,7.33,7.33
22.54,12.98,5.64,12.98,5.64,-5.63,-5.60,-3.22,7.34,7.34,7.34
22.76,12.96,5.61,12.96,5.61,-5.61,-5.57,-3.31,7.35,7.35,7.35
22.99,12.94,5.59,12.94,5.59,-5.59,-5.54,-3.40,7.36,7.36,7.35
23.22,12.92,5.56,12.92,5.56,-5.56,-5.51,-3.50,7.36,7.36,7.36
23.45,12.90,5.54,12.90,5.54,-5.53,-5.49,-3.60,7.37,7.37,7.37
23.69,12.88,5.51,12.88,5.51,-5.51,-5.46,-3.70,7.37,7.37,7.38
23.92,12.86,5.48,12.86,5.48,-5.48,-5.44,-3.80,7.38,7.38,7.38
24.16,12.84,5.45,12.84,5.45,-5.46,-5.42,-3.91,7.38,7.38,7.39
24.40,12.82,5.43,12.82,5.43,-5.43,-5.40,-4.01,7.39,7.39,7.39
24.65,12.80,5.41,12.80,5.41,-5.41,-5.38,-4.12,7.39,7.39,7.39
24.89,12.78,5.39,12.78,5.39,-5.39,-5.36,-4.23,7.40,7.40,7.40
25.14,12.76,5.37,12.76,5.37,-5.36,-5.34,-4.34,7.40,7.40,7.40
25.39,12.74,5.34,12.74,5.35,-5.34,-5.33,-4.45,7.40,7.40,7.40
