frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.93,0.01,11.93,0.01,-0.03,0.37,0.33,11.90,11.90,11.91
20.20,11.94,-0.06,11.94,-0.06,0.06,0.39,0.34,12.00,12.00,12.00
20.40,11.95,-0.13,11.95,-0.13,0.14,0.41,0.35,12.09,12.09,12.08
20.61,11.95,-0.20,11.95,-0.21,0.22,0.43,0.36,12.17,12.17,12.16
20.81,11.95,-0.28,11.95,-0.28,0.29,0.45,0.37,12.24,12.24,12.23
21.02,11.95,-0.36,11.95,-0.36,0.36,0.47,0.38,12.31,12.31,12.30
21.23,11.94,-0.43,11.95,-0.43,0.42,0.50,0.39,12.37,12.37,12.37
21.44,11.95,-0.49,11.95,-0.49,0.48,0.52,0.40,12.43,12.43,12.44
21.66,11.96,-0.54,11.96,-0.54,0.53,0.55,0.41,12.49,12.49,12.50
21.87,11.97,-0.59,11.97,-0.59,0.58,0.58,0.43,12.55,12.55,12.56
22.09,11.99,-0.62,11.99,-0.62,0.62,0.61,0.44,12.61,12.61,12.61
22.31,12.01,-0.65,12.01,-0.66,0.66,0.63,0.45,12.67,12.67,12.66
22.54,12.03,-0.68,12.03,-0.68,0.69,0.66,0.46,12.72,12.72,12.71
22.76,12.04,-0.71,12.04,-0.71,0.72,0.69,0.48,12.76,12.76,12.75
22.99,12.05,-0.74,12.05,-0.74,0.75,0.72,0.49,12.80,12.80,12.79
23.22,12.05,-0.77,12.05,-0.77,0.78,0.74,0.51,12.83,12.83,12.83
23.45,12.05,-0.80,12.05,-0.80,0.80,0.77,0.52,12.86,12.86,12.86
23.69,12.05,-0.83,12.05,-0.83,0.83,0.79,0.54,12.88,12.88,12.88
23.92,12.05,-0.85,12.05,-0.85,0.85,0.81,0.55,12.90,12.90,12.90
24.16,12.05,-0.87,12.05,-0.87,0.87,0.82,0.57,12.91,12.91,12.92
24.40,12.05,-0.88,12.05,-0.88,0.88,0.83,0.58,12.93,12.93,12.93
24.65,12.05,-0.89,12.05,-0.89,0.89,0.83,0.60,12.93,12.93,12.94
24.89,12.05,-0.89,12.05,-0.89,0.89,0.83,0.61,12.94,12.94,12.94
25.14,12.05,-0.89,12.05,-0.89,0.89,0.83,0.63,12.93,12.93,12.93
25.39,12.04,-0.88,12.04,-0.88,0.88,0.82,0.65,12.93,12.93,12.93
25.65,12.04,-0.87,12.04,-0.87,0.88,0.81,0.66,12.92,12.92,12.91
25.91,12.04,-0.86,12.04,-0.86,0.86,0.80,0.68,12.90,12.90,12.90
26.16,12.03,-0.85,12.03,-0.85,0.85,0.78,0.70,12.88,12.88,12.88
26.43,12.02,-0.83,12.02,-0.83,0.83,0.77,0.71,12.85,12.85,12.85
26.69,12.01,-0.81,12.01,-0.81,0.81,0.75,0.73,12.82,12.82,12.82
26.96,12.00,-0.79,12.00,-0.79,0.79,0.73,0.74,12.79,12.79,12.79
27.23,11.99,-0.76,11.99,-0.76,0.76,0.72,0.76,12.75,12.75,12.76
27.50,11.99,-0.74,11.98,-0.74,0.74,0.70,0.78,12.72,12.72,12.72
27.77,11.98,-0.71,11.98,-0.71,0.71,0.69,0.79,12.69,12.69,12.69
28.05,11.97,-0.68,11.97,-0.68,0.68,0.68,0.81,12.65,12.65,12.65
28.33,11.96,-0.65,11.96,-0.65,0.66,0.67,0.82,12.62,12.62,12.61
28.62,11.95,-0.63,11.95,-0.63,0.63,0.66,0.83,12.58,12.58,12.58
28.90,11.94,-0.61,11.94,-0.61,0.61,0.65,0.85,12.55,12.55,12.55
29.19,11.93,-0.59,11.93,-0.59,0.59,0.64,0.86,12.52,12.52,12.52
29.48,11.93,-0.57,11.93,-0.57,0.57,0.64,0.87,12.49,12.49,12.49
29.78,11.92,-0.55,11.92,-0.55,0.55,0.63,0.88,12.47,12.47,12.47
30.08,11.91,-0.54,11.91,-0.54,0.54,0.63,0.89,12.46,12.46,12.45
30.38,11.91,-0.53,11.91,-0.53,0.54,0.63,0.90,12.44,12.44,12.44
30.68,11.90,-0.53,11.90,-0.53,0.53,0.63,0.91,12.43,12.43,12.43
30.99,11.89,-0.53,11.89,-0.53,0.53,0.63,0.91,12.42,12.42,12.42
